Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Collision
0,0,5,0,4,5,D,16.090304651036792,29.106613421158624,B,0,A,1,1,4,0,1,4,D,89.81300361051137,49.953547644212726,C,1,B,Нет
0,0,5,0,2,1,C,51.36370500771746,4.430028542714659,A,0,D,1,0,4,0,1,5,C,30.8386884622617,86.06301533678014,A,1,A,Нет
1,0,2,1,2,4,D,84.77390963165973,44.30758553356136,A,1,D,0,0,2,1,4,2,D,41.31985599509051,59.571293286671626,D,1,A,Нет
0,1,1,0,5,1,B,71.01645068875818,90.49448880852677,B,1,A,0,0,5,1,4,1,D,2.281327793913668,25.023127255044784,D,0,A,Нет
1,0,3,0,4,3,C,78.59162469497858,41.22671294571405,D,0,B,0,1,4,1,1,1,B,40.742375524494676,75.80401971432012,A,1,D,Нет
0,0,1,1,2,4,C,15.883384369458165,53.38185701209501,C,0,D,0,1,3,0,4,3,C,92.27717776656127,74.3985932769179,C,0,A,Нет
1,1,4,1,3,2,D,98.60204069230035,83.23582998874913,B,1,B,1,0,4,0,1,2,C,39.58818540127501,16.412888941089655,B,0,D,Нет
1,1,5,1,4,2,C,17.25783097323619,53.19599865909299,C,1,B,0,0,3,0,4,5,C,17.179482678917502,12.777180644342057,B,1,D,Нет
0,0,1,0,5,3,C,50.94722380959386,96.02780375056736,D,0,B,1,1,2,1,3,2,D,51.75772579057399,94.53703994323934,C,0,B,Нет
0,1,3,0,5,4,A,88.17416344698677,10.012726507323977,C,0,A,1,0,1,1,3,2,D,21.129183234687375,84.39000137014901,C,1,D,Нет
1,0,2,0,2,3,C,48.41742769089965,15.796970668267551,D,1,A,0,1,2,0,4,1,B,17.77296944767507,45.106611521133864,D,1,D,Нет
1,0,4,1,4,3,A,10.248375413352296,30.926193929630486,C,1,A,1,1,4,0,1,3,C,66.64085445413042,98.29403520740287,B,1,B,Нет
0,1,1,1,5,1,D,67.57657528077837,70.60242055102319,D,0,A,1,0,5,0,3,5,C,25.510860398102853,19.839849352957117,B,0,B,Нет
0,0,2,0,5,1,A,59.396673602105665,91.63751320178106,A,1,B,0,1,4,0,5,4,D,63.111005712546145,19.495010829760773,C,1,A,Нет
0,0,2,1,5,2,B,15.437842491489185,8.697696151985623,B,1,C,0,0,3,1,4,2,B,67.95087815423393,20.72584506327391,C,1,C,Да
0,1,3,0,2,3,D,8.965580741485901,10.85881456854203,A,0,A,1,1,4,0,2,2,D,36.489370218221104,53.62507386861029,A,1,A,Да
1,1,1,0,3,4,A,7.491108135118174,65.83155402705482,A,0,C,0,0,5,0,3,3,C,96.45265737709734,10.990566392639034,C,1,C,Нет
1,1,5,1,1,5,D,74.58329391038394,54.66577074305318,C,1,C,1,0,5,0,5,4,B,67.64144414722647,94.3363216193526,C,1,D,Нет
1,1,1,0,2,1,D,63.283588702481154,74.5517392377305,A,0,B,0,0,2,0,3,3,B,15.876449740808052,86.22051947859237,B,1,A,Нет
0,1,3,0,3,5,A,83.47739562224747,11.774000663732453,D,0,C,1,1,3,1,5,1,A,90.57071463818463,12.456168713406669,B,0,A,Нет
1,0,2,1,3,2,A,66.61950531488313,36.83364243185711,B,1,C,0,1,1,0,3,1,B,1.6694784385798855,14.759348186745125,C,0,A,Нет
0,1,4,1,4,5,C,7.509968517239251,93.24951288317008,D,1,C,0,0,2,0,1,4,C,40.04104792705574,25.401369298516386,B,0,B,Нет
1,1,3,1,3,3,C,41.247532029786385,95.11881896897223,A,1,D,1,1,1,1,3,1,C,68.45158497614257,89.75595386421672,A,1,A,Да
1,0,2,1,2,4,A,94.89055399160439,6.775472380390724,B,0,D,1,1,4,1,2,5,B,2.7144231051460133,82.54293104925767,A,1,B,Нет
0,1,2,0,2,3,B,60.450856512552186,81.0572544258156,C,1,D,0,1,1,0,5,1,B,91.59871836983638,96.83579432887815,C,1,C,Да
1,0,5,1,3,2,C,83.23360418970421,80.47889077033854,B,0,D,1,0,4,0,5,4,B,77.77268830999863,10.590231841550136,B,0,B,Нет
1,0,2,1,2,1,C,42.10784242713491,92.34927569172994,A,0,D,0,0,1,1,1,3,D,82.63686330081266,45.416883190613376,A,1,B,Нет
0,0,4,1,5,2,A,27.793626141168872,16.363675815997812,D,1,A,0,0,4,1,3,2,D,85.37353229161161,67.49184518409757,A,1,C,Да
1,1,3,0,2,5,A,92.41325513659888,64.183418574851,D,0,A,1,0,5,1,5,1,B,51.27216522086728,72.0544353846337,B,1,A,Нет
0,0,2,1,1,3,B,44.36114096485291,5.494616866032109,A,1,B,1,1,4,0,5,3,C,78.23831336477816,47.56619345506304,C,1,B,Нет
0,0,4,0,2,5,D,11.656091332682317,76.78349769219342,B,1,A,1,0,1,0,1,3,C,37.28159264437214,75.74174402792329,A,0,B,Нет
1,0,2,1,1,2,B,66.9942457953359,39.27006169855438,B,1,C,0,1,1,0,2,4,D,46.30976885243431,51.472113510506304,D,0,A,Нет
0,0,5,1,2,3,C,23.29963333388463,44.24645568970662,D,1,D,1,1,1,0,2,1,A,91.95132013200754,33.17006540818289,A,0,C,Нет
0,0,2,1,4,1,C,1.3585713751073536,42.41393967220234,D,1,C,0,1,1,0,3,3,A,57.17316965815707,69.38946265272874,C,1,B,Нет
0,1,1,1,3,1,A,5.503487783748473,29.10036633687737,B,0,B,0,0,3,0,3,3,C,27.271237282519834,9.138105980949373,A,1,D,Нет
1,0,4,1,3,1,A,77.58994937810077,88.88055133783328,C,0,C,0,1,4,0,3,2,B,64.62899437527554,70.91262090348819,D,0,D,Нет
1,0,5,0,5,4,C,89.95557395588808,86.79288534310396,C,1,C,1,1,2,1,3,3,A,22.0308906919346,88.30339140611703,D,1,C,Нет
1,1,4,1,3,4,A,47.01324848692173,35.74058623302353,D,0,D,0,0,1,0,2,3,B,77.44548971563572,54.00373855872576,B,1,A,Нет
0,1,4,1,5,1,C,21.464247639748855,56.214891028469815,C,0,B,0,1,1,0,1,2,D,46.66386210579556,14.01698801836978,B,0,B,Нет
1,1,4,1,4,2,A,67.12013881192664,90.70828724487659,B,0,C,1,1,3,1,5,5,A,58.81082675192451,19.40065042372987,D,1,B,Нет
1,0,3,1,1,2,A,37.56679151160086,51.987104118812255,D,0,A,1,0,2,1,4,5,C,32.433414938106054,96.05350659637286,D,0,A,Да
0,1,2,1,4,5,A,14.090223746588048,7.1810172165939985,B,0,D,1,1,2,0,5,1,C,67.46991122557165,58.37455742503378,B,1,D,Нет
0,1,2,1,1,3,A,4.778968230396274,95.13684778843073,A,0,C,1,1,2,1,1,4,C,98.7633546305753,86.84662160025647,D,0,A,Нет
1,0,4,0,3,4,D,7.907326217722799,26.098745685282033,B,0,A,0,0,2,1,1,2,D,63.54097354312383,48.94305697792195,A,1,C,Нет
0,0,3,1,3,1,B,12.095512362642802,83.98309466143891,C,0,C,0,1,5,0,4,2,B,29.893551437929165,47.634047793191215,C,0,D,Нет
