Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Collision
D,88.45187385652025,1,39.61962247911798,25.387480340254843,4,A,27.19460514788977,1,11.294765108167148,64.52924556990726,2,Нет
C,87.63108061495653,0,8.461110384620795,16.68399610529002,4,A,26.546481573300973,0,92.80314170971991,10.871461194359423,3,Нет
A,87.37797448550931,1,64.61696073776262,0.5309230790194963,5,C,75.35859351833372,1,56.71500387109168,51.57573001169171,5,Нет
D,55.00762225323241,1,98.94437780814272,36.09476935318672,3,D,92.74509114364598,1,97.55548957144009,85.32413491204204,5,Нет
C,68.32999081970252,0,19.277172675229338,84.85276425409467,3,A,7.911037076083116,0,51.64921283173688,20.97485317569746,1,Нет
D,99.64032695108327,1,82.979666077376,36.83081830052857,5,B,62.134899487188946,1,48.10450177146092,34.68091586724634,4,Нет
A,24.385606021406847,1,1.33945378357343,9.345761525967156,5,B,0.420479510956695,0,34.92927441394078,9.035579179812936,4,Нет
A,73.6950937469131,1,25.33808662486483,97.89757542801118,5,C,14.851489594187385,1,56.9426017834432,27.99749317069744,5,Нет
B,95.67386966139702,0,99.98758340083657,87.1811605406229,1,C,99.65807478223691,1,6.59915571378189,48.065386301944855,2,Нет
A,45.325059873556704,1,18.32180065693777,52.95710428959115,3,B,66.37688420902035,1,93.89746105886093,44.73769348809653,1,Нет
A,85.55046782821128,1,40.45835112255731,38.92398614689468,1,B,14.447758265668876,1,14.070575504632076,35.537670696960575,3,Нет
C,11.076293930887104,1,61.37892289723066,7.46009222248426,3,C,39.9403259234684,1,6.079577430355587,60.35196660358775,2,Нет
C,44.58211345054729,1,83.89950216501879,66.64564271550336,4,B,88.98117218248436,0,18.714840110077567,47.186329498616075,3,Нет
A,98.67358863011093,1,38.069155254737296,57.82931876486662,4,C,37.42629630120593,0,51.50384897806275,6.665427606900831,3,Нет
A,88.1784846932494,0,13.779745209855843,47.982016987417545,3,A,8.817124434222324,0,55.218247836844014,98.3029522880859,5,Нет
D,18.445687651370555,1,92.63584909115517,9.344964353142359,4,C,19.893517848231703,0,75.07802633963075,23.53581499350257,2,Нет
A,96.6705770701936,0,83.86791001843588,80.97222514961703,2,B,87.00489864126027,1,99.66584004166418,50.993165426987275,4,Нет
B,0.31196966329348763,0,94.30924465375993,4.660100524788846,3,A,83.63274178608945,1,22.314465575206476,64.32958284669881,3,Нет
D,49.605420288252176,1,34.295396562739796,52.40209776905695,3,A,74.65550913119448,0,69.8486100047458,78.2906255196331,1,Нет
C,69.99641994739395,1,66.89081478618697,43.53654237579627,4,C,31.79953817976493,0,77.080127176948,6.331810010631289,2,Нет
D,84.4221964483652,1,79.1509538999666,8.61955279508405,4,D,29.59624440358969,1,89.02303876343723,22.278245545628394,2,Нет
D,9.412642531248782,0,97.85967404046013,16.359496581896927,3,C,67.91722839408023,1,42.18867420761819,91.8260242956275,4,Нет
A,21.739782711408072,1,77.56035560184239,60.96928245492127,1,C,62.75936552670645,1,18.771312227499493,58.449138409196436,5,Нет
C,45.47839581007101,0,46.72077785867975,87.85492014693837,5,C,29.459551196902346,1,71.72635652146025,53.55380940516438,5,Нет
D,55.5365641396036,0,2.3803743461011773,21.157017476702745,1,A,64.62845766444134,0,65.90875496175674,54.26639480088903,4,Нет
D,18.502881782326554,0,11.994501010347204,49.53612297068099,1,A,54.71487808551178,0,56.152389287165775,21.050712149692696,1,Нет
C,88.28396280079427,1,30.16347371686606,55.965431985471895,5,B,15.954740157456104,0,0.7419343667824041,55.12652672673535,4,Нет
C,69.43740903142123,1,53.540272978033535,66.98483500580232,2,C,73.02919279033834,1,86.12850042862408,94.04671368667505,5,Нет
D,57.04704065097269,1,47.63452727739792,53.62038329496821,3,B,5.988669020646675,1,32.11754929628119,69.77563709702433,1,Нет
B,51.54471651099989,0,69.96277362492727,28.040450215740254,2,A,6.213700969261849,0,57.74439509240579,88.99397195536123,2,Нет
C,60.6815153609441,0,87.69274224977708,86.71809478410071,2,D,44.73868395435239,0,94.49595353866802,43.7459522621049,5,Нет
C,57.0211702831887,0,65.95513406393854,6.810128932242221,1,A,14.685710381486816,1,10.112183137845642,21.039577811120036,5,Нет
D,45.85439055401138,1,59.103410647680356,12.388151619746267,1,C,12.03588532320705,0,97.95849717403694,91.73559534643185,2,Нет
D,54.07081689474538,0,46.954336011393,32.16292215231306,5,A,28.663157547101758,1,61.655113858227764,32.62203018628236,4,Нет
B,86.46690155547253,0,39.736062651230576,32.05285008902299,1,A,98.55259390639714,1,81.83026986205417,32.49417099078885,1,Нет
B,10.690337755555246,0,56.51379334912875,95.84277883307868,2,B,50.665495990888395,1,39.00159009941198,34.556765790779224,4,Нет
B,25.83616318201939,0,81.56460400533226,51.05685615090806,2,D,64.4491629622462,0,41.20225478271834,80.6980616036968,5,Нет
D,0.9094125738452585,1,37.75224312647148,35.092601189255554,5,C,9.926771560097247,0,76.56004148661133,65.90433707041733,1,Нет
D,10.286848123989001,1,97.40531053970251,37.96039106478367,3,D,45.08280696350013,0,1.484804532266315,95.96738555509766,4,Нет
B,6.356013008416128,0,81.45460832503439,7.05772207008204,5,C,40.649694553409645,0,99.09548570381455,95.20956999519707,5,Нет
A,65.77047642419308,0,42.396095221867014,15.553495055526534,5,D,58.63210251634777,0,47.835394349454944,74.94517744099593,5,Нет
C,43.669293788244765,0,88.02727588431539,24.97917627354568,1,D,47.197490541335874,1,83.28483168545083,57.68091021739916,2,Нет
D,16.550060198464067,1,25.93394260428601,87.78792046870699,5,D,85.38472070700263,1,29.551603621214507,74.32010176719798,3,Нет
A,62.33728820828094,0,64.2174642596409,66.39044935653583,4,B,60.08157326475716,0,28.457552770985938,19.705660332269524,3,Нет
A,16.04496871198079,1,79.93094463351174,93.00914355091336,4,C,17.70184497045041,0,60.97558693739009,23.08931239814277,2,Нет
C,0.8358161537583508,1,26.452449012199487,2.610543223970563,4,B,55.03216874332752,0,8.200480030548407,17.519443446468642,3,Нет
D,71.10406880369895,0,24.2357913336546,7.977879153937684,4,A,93.90123995252404,1,37.37034388399126,93.93650664870515,5,Нет
D,63.113694939862164,1,97.42606501590899,56.021831407548376,2,A,10.685284148991126,1,2.29159914163356,65.7645600079606,2,Нет
A,47.46387675467961,0,1.869668062232377,10.795388664330375,3,A,88.09769761067801,1,88.53757119854066,49.135246245925565,5,Нет
A,10.501210999157395,0,33.392419206014424,52.83930742355524,3,A,81.09407641218613,1,92.9897907736331,79.47412381626025,2,Нет
A,35.77585508577401,1,58.22095115268311,9.781018514278838,4,B,88.25105039598657,0,86.89945979521283,18.669053865718755,2,Нет
B,1.134250537708259,0,52.06666763589855,77.33497791221862,4,D,43.10739760646008,0,2.5086301574861025,98.55535556241703,4,Нет
C,61.293420136443885,1,55.05554346971658,70.5745512410162,3,C,81.35302116489717,0,41.31357492219026,26.987043947464294,3,Нет
D,90.24555477962312,1,3.889448726098621,31.681744627511634,3,A,73.50893405150664,0,40.35774546854262,1.1810161269006914,1,Нет
C,2.086716761554852,1,39.47102337819379,9.206414049145073,3,B,60.65771497113518,0,42.2586187694379,14.95651621809162,5,Нет
A,68.03547970933491,1,85.9907698468682,39.59681589040288,5,C,47.053342138875855,1,75.37692148985606,91.22507629492445,3,Нет
B,18.76492146481562,1,56.35168235100804,36.77409517063961,2,C,52.0357261967303,0,50.846247298992644,97.15579371883707,5,Нет
A,34.115343016890776,0,13.085781256581964,22.46810333967546,1,D,30.192458621728868,0,10.376111675169907,33.73190328422471,5,Нет
C,86.27608134020028,0,66.86814420664432,24.20318852656983,1,B,57.072943740286206,0,70.28812382091309,19.193152909402734,4,Нет
A,31.305763657121645,0,93.12434175984143,36.01952227646097,4,D,3.4477614712319027,0,30.35031181315886,26.48102055600845,4,Нет
C,31.408154191397763,1,61.27881730393151,57.17064501236676,5,B,79.25481304669995,1,95.43333465733376,9.512654425880275,4,Нет
C,18.923639416027317,1,37.196048632111975,23.199237039573937,5,B,25.052175666824382,0,20.0792140881351,75.85664010038808,1,Нет
C,57.8930979546164,1,29.907644865275696,4.808082863810103,4,D,89.72317082732822,0,98.12918446767307,88.20670646501836,5,Нет
C,50.8424994271413,1,28.87052897940213,44.153882297278145,4,C,60.35957695688051,1,40.3925120954001,10.398697202909268,2,Нет
B,45.8871348123777,1,42.003227616252246,26.778972194527274,3,B,8.408677208882898,0,0.6378279978643819,38.6282893961796,3,Нет
C,10.317537132258458,0,76.5065407116219,27.579215774717337,5,B,40.45938929753904,1,58.78616735372869,5.578140095445006,2,Нет
B,62.07844939608691,0,77.0315822928067,53.166054878249824,2,B,41.102213840547364,1,47.18653489856206,19.735314312694108,1,Нет
D,16.44293471286533,1,31.826541892399508,18.255914524331384,3,D,81.26065981312824,1,99.13542259919147,97.8279803606213,1,Нет
