Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Collision
0,C,4,58.385411444756286,0,B,5,50.73904686165217,1,A,3,18.39093256115988,0,A,1,2.964656529297305,Нет
1,C,3,38.357127717454716,1,D,5,5.792259079271811,0,C,4,86.00667327465177,1,B,2,44.783846473491586,Нет
1,C,3,74.67000225999803,0,A,5,69.36376862117969,0,C,2,79.53962650934523,1,B,4,88.9870931909321,Нет
1,B,2,8.77718969722836,1,D,1,64.78652747704255,0,A,5,78.49244524140992,0,B,4,41.197575229693406,Нет
1,A,5,9.742731053854737,0,C,5,84.03392033088737,0,D,5,88.25648435915188,1,D,4,87.94417062902674,Нет
0,D,4,82.50098583391878,1,B,4,16.87919190825281,0,B,3,87.73946027559208,0,A,1,62.12004936815815,Нет
0,B,2,76.71206525646278,1,C,3,77.28161479523258,0,B,1,74.59331031156952,1,A,5,68.39087153998207,Нет
0,D,5,31.962175267886707,0,B,5,93.28058374393896,0,A,4,95.70645752283008,0,A,3,49.47728795681492,Нет
0,B,1,22.717836556427983,1,C,3,98.26575623779077,0,D,3,5.498885102597805,1,B,2,89.96084925562778,Нет
0,D,4,1.3282334378330374,1,A,1,22.195081360463533,1,D,4,84.3063955276265,1,C,3,76.50050606246408,Нет
1,D,1,59.08692944543649,0,B,4,66.78336458651934,1,B,1,7.461755523101454,1,D,5,3.9027090097470296,Нет
1,A,1,13.656411261990032,1,D,3,62.54936807853171,1,C,2,11.292339371369408,1,A,2,80.27593777281075,Нет
0,B,5,36.9007760593117,1,B,1,74.11711320733214,1,D,2,67.63933410947837,0,A,2,65.56560942894035,Нет
0,A,4,22.92630877744697,1,D,1,85.95923360834932,0,A,5,13.38109537718587,0,A,5,96.39265535750184,Нет
1,A,1,93.86895699747933,0,B,2,22.920152513361092,0,B,2,92.63069987679717,0,B,4,1.4042092227672276,Нет
0,B,5,93.95262173291523,0,A,2,89.67520271844532,0,A,1,96.90011980305087,0,D,4,56.186942134252035,Нет
1,D,3,86.27605278571258,0,C,1,25.107407831105675,0,C,5,66.69794182496554,0,A,1,68.77061666190419,Нет
1,C,1,83.7173182787703,1,A,3,83.97898124115781,0,B,5,40.157092209290155,0,A,3,34.19894740333387,Нет
0,A,1,38.790416615587986,1,C,3,27.553049424893196,1,D,5,67.31704382020438,0,D,4,37.11705846314551,Нет
0,D,5,97.03088430301649,1,D,1,59.09077082061827,0,A,5,81.47365920647167,1,A,4,94.85769150360267,Нет
0,D,4,18.73453584482054,0,C,5,13.141749033574268,1,A,4,24.712455203691885,0,A,5,77.90658482687589,Нет
1,A,4,87.24017297175271,1,B,1,69.18722169830822,0,C,4,18.868726817249094,0,C,3,14.581353144032027,Нет
0,C,2,31.390983197760093,1,A,1,37.20401363592758,1,B,4,1.4208751597489355,1,D,3,20.87171217386208,Нет
1,A,1,86.63738882679235,1,A,5,30.437107350077753,1,A,3,99.77421451990065,1,A,1,24.39637971620937,Да
0,C,5,5.603204864278954,1,C,5,70.4193469452382,0,A,3,17.41620429238262,0,C,2,30.08348509691028,Нет
0,C,4,16.77866164970783,1,B,3,29.50494085219244,0,C,2,75.35131815101481,1,C,4,46.27714843495894,Нет
1,A,4,67.10221419450612,0,B,2,34.72445634442201,0,C,4,53.47926469920362,0,D,2,10.893649335430833,Нет
1,C,5,90.43244375024165,0,B,5,30.19857938868039,1,C,1,12.46615168238091,0,A,3,15.21871128815957,Нет
0,B,3,60.36377675101242,1,C,4,38.46024138985924,1,D,3,14.991995144402658,1,C,4,43.33961088017718,Да
0,A,2,8.451137839414468,0,D,4,56.835166845594166,1,D,1,20.6663589563585,0,D,3,47.8348486164604,Нет
1,D,1,8.769153652599249,0,D,5,95.30109853980603,0,D,2,67.32811403802799,0,C,3,3.978975504797022,Нет
0,B,3,81.36018724013968,1,B,5,79.32171496595703,1,B,1,29.626185673850113,0,A,2,91.96220080086435,Нет
1,B,4,78.62096257104407,0,B,1,46.31160934932773,0,D,1,83.24975701499973,1,C,1,5.219783541745581,Нет
0,C,4,56.62495443265287,0,B,5,50.98839998247854,1,A,4,14.175941092100608,1,A,4,36.4946976442619,Нет
0,B,1,81.76166221845557,1,B,3,74.05528843400212,1,C,5,10.62848862173713,0,A,4,5.332103482841011,Нет
0,C,2,47.14071549115108,0,A,1,72.79845365791803,0,A,5,53.3891542605758,1,A,1,20.23392096197124,Нет
0,D,1,1.7858087310846482,1,A,3,39.54369163503084,1,A,3,13.170203792606394,0,D,1,90.39454517418768,Нет
0,D,4,18.79406778645555,0,D,2,59.359695790466475,0,D,2,27.22071251143303,0,C,4,80.51583194235042,Нет
1,C,3,56.62652534008213,1,D,3,21.248658023410183,0,B,2,2.0332269127313563,1,A,4,42.50427540756786,Нет
0,B,5,71.35934917589023,0,C,1,15.020732614694799,0,B,2,41.30565775113928,1,A,3,63.431970502134135,Нет
1,A,1,0.6504242136750382,1,D,3,24.22460517125208,1,C,4,28.84898692184521,1,D,5,49.360148896140764,Нет
1,D,3,21.169319828683985,0,B,4,33.702802130089026,0,C,3,79.63103780118547,1,B,1,1.8596653156835674,Нет
1,D,2,67.17125919358382,0,B,1,64.14482575996594,0,D,4,16.07591506712526,0,C,4,21.786308757367955,Нет
0,D,1,54.81310129023792,1,A,4,23.73797440343427,0,D,4,57.63719030590809,1,B,2,92.16807032766285,Нет
0,B,4,71.83281554975872,0,C,3,0.5513254317421445,1,C,4,37.269868888152104,0,A,4,43.01582076880889,Нет
1,C,1,17.39404753762863,0,B,1,69.89379957698846,0,A,3,30.735595736036036,1,A,1,74.41732612262157,Нет
0,A,1,29.64718112492314,1,A,2,57.48641760071206,0,D,1,5.333818208216035,0,A,2,59.2521770225154,Да
1,A,1,56.42306891437432,1,C,4,22.130088531267056,0,A,1,85.28872163417715,0,A,5,17.06586269482282,Нет
1,D,2,20.023247191855297,0,A,2,6.597375693510266,1,D,4,60.83659926545432,0,D,1,90.92136181821974,Нет
1,B,4,31.683952249893988,1,D,5,54.54673341175954,1,D,4,32.892054438379034,1,A,5,39.88625178983616,Да
1,A,2,44.637809267041796,1,D,4,98.0537211119527,0,A,1,20.887870431181412,1,C,1,49.00729767364419,Нет
1,D,5,34.7724559743302,1,B,1,57.51646409941355,0,A,2,87.90047223981755,0,D,3,31.847580317731104,Нет
1,D,3,81.64938111757787,1,A,5,9.13454577409274,0,A,3,67.522534160828,1,C,5,70.09725174833106,Нет
0,D,5,37.63918877772818,1,A,4,70.27020765164742,0,C,1,29.62018610009497,0,C,3,95.31511698081249,Нет
0,D,1,64.41362525501931,1,B,3,72.77023237429509,1,B,3,52.85422911527243,0,C,5,84.8571181271484,Нет
1,B,1,71.65745442471011,0,B,2,76.86726271661439,1,D,3,13.662469343475102,0,C,1,15.123354742533913,Нет
0,C,3,28.83860173698034,1,D,1,53.78310436638781,0,A,4,16.966041056133886,0,D,4,23.563086776640287,Нет
1,D,2,66.43237802536859,1,A,2,26.24895754153481,1,D,2,14.973071594448761,1,B,4,86.0938285388884,Да
1,B,2,12.160410325877802,1,B,4,88.02257646973783,1,C,4,89.21574147431122,1,B,5,63.42916486497819,Нет
1,A,1,41.17694620371359,1,C,5,53.078753958147,1,A,4,93.28425096205808,0,C,1,31.893398901205106,Нет
1,D,5,85.56249000968822,0,D,2,49.24035861323504,0,D,4,93.05057978812704,0,A,1,39.43630672044289,Нет
0,D,3,46.88260301319597,1,B,2,10.25659279230835,1,B,3,33.23165147624424,0,B,3,7.4058253740753806,Нет
0,D,4,11.650462007147954,0,C,4,25.670972895432786,0,A,1,75.15444202535913,1,D,5,40.20785823216815,Нет
1,A,5,53.6683388398981,1,B,4,97.37092132338158,0,C,1,35.26974255658576,0,D,2,29.395229751682116,Нет
0,B,3,38.141862656063886,1,D,5,33.764897329896115,1,B,1,15.306035383125804,0,B,3,18.782313642934035,Нет
1,D,2,57.54536197757755,0,C,4,20.385996859922994,0,B,2,23.663783271667494,1,C,3,54.57513617447647,Нет
