Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Collision
C,5,1,74.20130285430568,B,1,0,99.89252731081824,Нет
C,5,1,67.26181117091143,A,3,0,27.44185558648613,Нет
A,3,0,40.67525536604242,C,2,1,4.470919816040697,Нет
D,5,1,87.62067957566661,B,2,0,98.54680863472637,Нет
A,5,1,76.09738921969922,A,3,0,32.5598654996758,Нет
D,4,1,23.7644141637108,C,5,1,64.91371242840593,Нет
B,1,1,7.777696463095762,A,2,1,1.904788167648308,Нет
B,5,0,98.30363874470088,A,5,0,78.25879572793608,Да
B,2,0,86.40048407514062,A,1,0,25.89402257114437,Нет
A,2,0,79.59898200333704,D,3,0,66.95890913745963,Нет
B,5,0,17.289331443510502,B,5,0,74.66240079598514,Да
B,2,1,52.90813150808715,C,1,1,17.407236814243955,Нет
D,5,0,49.232795056499214,C,4,0,66.41286551116404,Нет
D,5,1,46.523012740390804,A,4,1,89.56483088939149,Нет
D,5,1,8.465637199641607,B,4,1,80.93866219200001,Нет
C,5,0,9.211192684477066,D,4,0,70.71436776014357,Нет
D,2,0,9.259810841625281,A,2,0,32.340651865161774,Да
A,5,0,3.414036352375227,C,3,0,19.951531228482324,Нет
A,5,0,79.43439497132546,B,4,1,8.618245319043382,Нет
A,5,1,17.367064648389153,D,1,0,81.75710066204513,Нет
A,1,1,5.190627428795458,A,4,0,48.76836079461475,Нет
C,5,1,86.27063288529165,A,3,0,18.970663991273852,Нет
D,1,1,45.051601300474665,C,5,1,78.9673533138582,Нет
B,1,0,38.51374272336585,B,3,0,28.31466281070871,Да
B,3,0,63.49543372709074,C,3,0,68.5971456116868,Да
A,2,1,72.06087882630862,B,3,0,28.75913764751775,Нет
A,4,1,48.586471015438235,D,4,1,68.06758323008822,Да
B,3,0,99.90824419393802,B,3,1,37.40459309756565,Да
C,3,1,5.612673680414526,D,4,1,43.1105743572925,Нет
D,4,0,27.57539225469322,B,4,1,62.083296075145434,Нет
B,5,1,59.077086440250994,A,4,1,45.13878221364256,Нет
B,5,0,78.60662715037662,B,2,1,94.67041033904155,Нет
C,3,1,79.6776500262491,C,2,1,58.85288121660287,Да
C,2,0,92.50791352912111,C,4,0,76.38707009742473,Да
A,5,0,46.561645771402226,D,1,1,86.1031729805609,Нет
D,4,1,16.108493714754037,D,5,0,63.015800983636524,Нет
A,3,0,63.13799187506898,C,4,1,38.90348339136488,Нет
C,3,1,23.219312562497397,D,2,1,79.52811308076244,Нет
C,3,1,74.78741920473843,B,5,1,87.13433358497285,Нет
A,2,0,33.816528055367726,B,1,0,32.06642202624308,Нет
C,4,1,91.83085752903577,B,5,0,2.999814173443438,Нет
B,3,0,97.97305356430527,B,2,1,87.00229949312292,Нет
A,2,1,41.04456860595751,A,5,1,50.825642131186754,Да
C,3,1,35.91903025844586,A,4,1,4.179010014610663,Нет
D,4,1,90.06649547024713,D,2,1,36.88670701488091,Да
A,4,1,62.34824335428346,D,5,0,95.60338238813027,Нет
A,2,0,54.37691231765569,B,3,0,77.62448769622301,Нет
B,4,0,31.954729200008323,B,2,1,23.768625338451287,Нет
A,1,0,11.839419847655163,A,1,1,59.94838446979498,Да
C,1,0,3.316500166996228,A,5,1,39.48830501343458,Нет
B,3,1,45.039915546272844,B,5,1,7.0278043781249355,Да
D,3,1,66.46229529689789,A,4,0,61.561432355646026,Нет
A,1,1,71.51558894357949,D,2,0,3.7055820181444044,Нет
C,5,1,39.882145273074265,D,1,1,75.39255531178057,Нет
B,3,1,3.9453717028555046,D,2,1,84.36671757747818,Нет
A,4,1,44.60341249612948,C,3,0,10.993995360710585,Нет
D,5,1,91.39364127448331,C,1,0,93.72598474470497,Нет
C,5,0,53.60390150326258,D,1,1,59.790437854651266,Нет
C,1,1,98.70048587136439,B,4,1,24.143374475736536,Нет
B,2,1,18.45460906248293,A,2,0,23.516974054547145,Нет
C,3,0,41.16956508699139,D,2,0,54.75021706210593,Нет
B,1,0,87.93855930930901,B,5,0,58.36696036836918,Да
C,4,0,8.021457017274336,A,4,0,12.663546386426393,Да
B,2,1,44.5224427342839,B,1,0,67.66966704912944,Нет
B,1,1,24.986727346882788,D,4,0,81.43531561078652,Нет
B,2,0,9.86091320464183,A,1,1,27.70120123897073,Нет
D,5,1,90.04511419397568,C,5,1,98.89470121990944,Да
C,1,1,28.032261509470036,D,5,1,19.627506537796336,Нет
D,4,1,65.72809182960303,A,5,0,58.76767707514308,Нет
D,4,0,87.49516653042328,D,1,1,82.33514390683632,Нет
C,2,1,63.96313609941703,B,2,1,92.12575295232126,Да
A,4,1,22.181841909733148,B,5,1,15.989510611339842,Нет
D,3,0,42.39388729811894,C,4,0,85.53287784193373,Нет
C,4,1,80.36601317948771,C,1,1,8.889192886188212,Да
D,5,1,35.062328413787036,A,1,1,38.112234166486026,Нет
B,1,0,31.763767929432152,A,2,1,48.87737129910684,Нет
C,2,1,79.85967453332896,B,5,0,78.17028578222937,Нет
D,1,1,18.38848248214574,A,2,1,58.19333840009088,Нет
D,2,0,85.24403822133237,A,5,0,86.58212679040969,Нет
C,2,0,19.91950191961529,B,5,0,49.19568399502269,Нет
A,2,0,93.15456653757273,B,3,0,63.39657911076514,Нет
A,5,0,43.081447280573606,D,2,0,84.11900442417344,Нет
A,4,0,44.771068176416016,A,4,1,3.707422417483097,Да
D,4,0,86.25740741043289,A,2,1,64.70359059044316,Нет
D,4,1,27.043442893921398,C,1,1,67.73510850319362,Нет
B,2,0,19.246863000650205,A,5,0,83.74543104120585,Нет
A,5,1,69.901736483169,C,4,0,75.70807211647096,Нет
D,1,0,32.540679494022285,B,5,1,34.72342607717105,Нет
C,1,0,11.72021898803095,A,1,1,72.16063911287226,Нет
A,1,1,75.20979493027198,C,1,1,17.27521524187605,Да
C,4,0,51.20711477028732,B,2,0,67.73607196024821,Нет
A,3,0,46.03646626738944,C,5,0,44.6560812446259,Нет
B,5,0,80.73205589189757,C,2,0,71.78849571761154,Нет
A,5,1,73.16793716512731,A,5,1,46.30685508520358,Да
A,4,0,63.07381939365361,B,4,1,16.12880552381748,Нет
B,5,0,47.82021281358707,C,3,0,23.023077331873253,Нет
B,1,1,43.73381306067275,A,4,0,79.31165974236207,Нет
A,3,1,26.230430253034363,C,2,1,19.91009841929173,Нет
B,5,1,1.6796128071465466,D,1,0,15.22783260245304,Нет
A,3,1,66.21026072789982,B,5,0,2.226827129135822,Нет
A,1,0,3.5300077167078947,A,5,1,84.54896545328754,Нет
B,3,0,53.005610817047135,B,3,1,69.35594374216973,Да
D,2,0,54.695446079997524,A,3,1,94.1729986712597,Нет
D,3,1,96.2605208807242,D,1,0,75.38647634322211,Нет
B,4,0,90.60117768761266,B,5,0,86.96954604103188,Да
C,2,0,57.601340055150764,B,2,1,70.25397794136823,Нет
D,5,1,60.73730040612531,C,4,1,20.842848962857985,Нет
D,2,1,6.726864156070633,A,3,1,6.441359893572707,Нет
D,5,1,74.46035089818938,B,3,0,69.0639011299742,Нет
C,3,0,81.1848738192284,A,5,1,42.83373507124685,Нет
C,2,1,24.014497172177208,D,3,1,7.25742938541668,Нет
C,3,1,78.17076131321747,A,2,0,13.864577676923506,Нет
B,5,0,34.200405610843845,D,4,0,81.91446505975227,Нет
B,4,1,22.39108784988503,D,1,1,78.97619373713566,Нет
D,3,1,48.12063877377103,B,3,0,57.370463420408115,Нет
C,2,1,30.052686464930733,C,1,0,22.894897770637034,Нет
A,1,1,31.835644640311955,C,3,1,8.782292301050642,Нет
C,1,0,95.12140901256375,C,5,0,43.01641764980732,Да
C,2,0,66.55202779049942,A,4,0,65.71822248848369,Нет
D,4,0,64.91101856986641,C,4,0,11.843210693294182,Да
A,3,1,30.16672102331951,A,2,0,50.10769674127552,Нет
B,3,1,0.06781484094763313,B,4,0,92.48651766302484,Нет
A,2,1,50.40257025187581,A,2,1,51.5209036458357,Да
B,2,1,51.180543605966136,C,1,0,95.14317372760996,Нет
B,2,0,22.775842415573923,C,5,0,97.4274557853678,Нет
A,5,1,52.57025158462276,D,2,1,29.605153696865738,Нет
B,4,1,19.54969328395102,A,1,1,54.70056548907676,Нет
C,1,0,65.98280397325382,A,4,1,77.49105848091902,Нет
D,5,0,35.08710577503222,D,4,1,68.73636433490317,Нет
D,3,0,10.134688008165238,B,5,0,37.21731354163171,Нет
A,5,0,61.71188134455683,D,5,1,69.81803845439232,Нет
D,5,1,87.62496234826396,D,2,0,27.987837784670088,Нет
A,1,0,33.02326663863398,C,1,0,15.5850445322682,Да
B,2,1,67.23612339380284,B,5,0,52.56609365389562,Нет
B,1,0,17.35799132161694,C,1,0,25.62700428835425,Да
C,1,1,56.42120521092158,B,3,1,92.98241059405119,Нет
B,3,0,90.20778748625882,D,2,0,25.021708817706557,Нет
D,4,0,33.16953916231087,D,1,0,33.3105850151143,Да
D,3,0,68.98531527353938,A,5,1,88.31332053770039,Нет
C,4,1,43.51966213347265,B,2,0,54.3781956773427,Нет
A,1,0,71.48595176736133,A,5,1,73.98827568729368,Нет
B,3,0,66.67020626135181,D,3,1,1.9989179809479785,Нет
A,2,1,30.391874915278915,A,4,1,31.689917654429568,Да
B,4,1,67.87622629973478,A,5,1,79.48683128787678,Нет
A,3,1,72.0059518542148,C,1,1,37.33409028619011,Нет
B,1,0,47.43332615089447,C,3,0,58.38627828363461,Нет
B,2,0,98.67837673397092,A,2,1,75.06986281525434,Нет
A,2,0,2.0676844453462517,B,1,0,76.76679783078336,Нет
D,1,1,79.20783645182065,D,3,0,70.2965275603915,Нет
B,2,0,84.84800824869941,C,1,0,5.274269311115787,Нет
A,2,1,34.30139494167853,A,5,1,93.52279757806674,Да
B,5,1,27.262169445722662,C,4,0,93.63509063976898,Нет
C,3,1,19.246943861401366,D,2,0,71.20656489129235,Нет
D,2,0,36.40463693641773,C,1,1,45.696549692923185,Нет
C,3,0,20.460407087480238,B,4,0,92.1077912663156,Нет
D,1,1,52.20696539083536,A,5,1,6.640460597408248,Нет
D,4,1,69.12069011608118,D,1,0,32.18110533419443,Нет
B,3,1,96.05918985809461,C,5,1,66.74360925776746,Нет
C,4,1,74.39760937461074,A,2,0,10.81958078125469,Нет
B,4,0,56.57669920828984,A,2,0,74.24620482502702,Нет
A,4,0,94.20839382219151,C,2,1,53.838271847944455,Нет
A,4,1,17.976864855076602,C,1,0,54.43891003659422,Нет
D,1,1,22.558360756184026,A,1,0,85.81713855924673,Нет
B,5,0,9.935406346550213,A,3,0,47.563364789478214,Нет
C,1,0,8.74750553664969,C,3,1,62.438369494093514,Нет
B,4,1,62.7921308479785,A,4,1,96.85292755795675,Да
A,2,1,62.534791201309446,B,2,0,73.33753226081629,Нет
B,3,0,28.543327331867385,A,1,1,11.85046511037986,Нет
C,2,0,26.41005137621677,C,1,0,14.518299280228675,Да
B,1,1,67.41857200924393,C,3,1,29.28056547884279,Нет
B,2,0,61.95013883362572,D,2,1,71.2096695313364,Нет
B,5,1,11.524294717758954,A,5,1,43.20388136025195,Да
A,2,1,39.78711118767908,B,1,0,74.86539418425207,Нет
D,1,0,45.78956772588227,D,5,0,64.94546911317522,Да
D,4,0,85.39453657970606,D,4,1,40.33887593428888,Да
A,2,0,25.884560981971248,A,5,0,23.615443766716425,Да
D,4,1,44.31591469403393,B,3,1,42.4812854120868,Нет
C,1,0,75.04485807098494,C,4,1,57.99338487248401,Нет
D,5,1,30.551818940918942,C,1,1,88.74130658188122,Нет
B,3,0,34.31208121252458,A,3,1,62.59394013278878,Нет
C,3,0,77.00246429345025,D,2,1,28.646059097222697,Нет
B,2,1,72.08166559739004,A,1,1,53.85547209672071,Нет
D,1,0,10.432591725223306,B,5,1,99.6624982287662,Нет
D,4,0,30.96684471998983,C,1,1,71.21007528101806,Нет
C,1,0,48.85390212242711,C,1,1,72.95869055370544,Да
B,5,1,80.04969165496908,A,3,1,27.758971946672162,Нет
C,3,1,4.364057520273102,A,1,1,67.52655906896213,Нет
A,3,0,14.102428280319657,D,5,0,28.728352190815997,Нет
D,2,1,44.264077139480364,D,3,1,15.071867322951904,Да
D,2,0,88.12510302557202,D,2,1,31.286006156156876,Да
C,1,1,86.70396416129672,D,4,1,42.7472571391606,Нет
D,1,1,63.536218186358816,B,2,0,50.16452346042338,Нет
