Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj1_Feat14,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Obj2_Feat14,Collision
0,52.21991629645205,46.27628310793283,3,2,0,90.64600108584484,C,3,0,95.01567795489511,0,2,4,1,92.36773664944732,81.96485004920744,2,3,0,57.192386384043395,C,2,0,84.40973425538472,1,1,4,Нет
1,49.56711894595473,49.08847102055503,3,1,1,5.550437403822772,A,3,1,45.098750671686226,1,4,5,0,41.12823829826413,80.85223987868227,5,3,1,31.854813396530734,B,5,0,90.9462940935114,1,1,2,Нет
0,71.2581815071213,0.221733079498887,4,1,1,62.31191849447599,A,2,1,10.915639303225678,1,4,2,0,37.13552006689006,29.89558721644816,2,1,0,62.58602847487281,D,5,0,95.97720815831835,0,2,5,Нет
0,73.38129851822987,60.96434217116881,5,5,1,24.54537316794371,C,3,0,76.38068934063543,0,2,5,0,60.220723064603746,99.53493264007358,1,5,1,25.4278344174409,B,4,0,8.233114329892754,1,5,1,Нет
0,95.45020713601323,93.82265991201841,5,5,0,37.53745391037875,B,1,1,77.49326574379988,0,4,2,1,0.893099838911704,76.3450412987609,2,2,0,95.85999460508793,A,2,0,65.65125464604384,0,5,1,Нет
0,21.290355174010735,64.63372867128399,1,5,1,82.40449168709213,A,4,1,60.61905490456695,1,5,2,1,35.77913881644057,41.62177243728462,3,5,0,85.44496789961592,B,1,1,5.461950946060801,0,5,3,Нет
0,8.899697660971595,67.41533473685989,3,5,1,57.025986466298676,A,1,0,58.49006278431176,1,5,1,1,75.72480333193232,56.46803394819276,1,3,0,28.332899677512945,B,2,0,76.28647399032018,0,4,4,Нет
0,0.517634228376751,59.211187510393025,3,3,0,74.51969440425499,C,2,0,88.8002481982488,1,2,4,1,93.86032164001952,73.32421627514202,1,5,0,20.286617061822266,B,2,0,69.30556781637878,1,2,3,Нет
0,87.75544104011801,5.117120590295654,3,5,1,72.0442645071169,D,1,1,6.006183670544097,1,3,3,1,90.93410005427283,56.92135236475943,3,5,1,7.150057960132927,A,2,0,19.278975781543263,1,4,2,Нет
1,81.3875105503173,91.45208823869393,1,4,1,27.07573028497916,A,2,1,1.0212284588098641,0,5,4,0,2.493325795772916,65.35491563483713,3,4,0,32.731161283224395,A,3,1,28.568988731344934,0,3,2,Нет
1,86.08711461642825,60.11276870250046,3,4,0,16.169002871032834,D,4,0,2.328144218488293,0,3,2,1,18.990537480624614,67.86943118999343,5,3,0,77.30542899587617,D,4,1,72.94339875096972,0,1,5,Нет
1,59.52643447698117,47.31958072756356,4,1,1,61.84184291075173,D,4,0,40.649832963282826,0,2,1,1,17.23334503278553,40.765475966169475,2,3,0,22.583275445521277,C,2,1,74.36043453935297,0,3,1,Нет
1,90.18273958052883,60.76772183297807,1,2,0,9.782710593353439,C,4,1,95.3384920213795,1,1,3,0,16.912292629166238,89.98724874227635,1,3,0,13.978665282994973,A,5,1,34.31530750626547,0,2,4,Нет
1,83.1367915994774,40.50560933629065,4,1,0,65.85976263476496,B,5,0,73.23874804783358,1,3,5,0,32.571334886927175,12.875304730756888,4,4,1,90.5628810550528,D,5,0,82.13711548681302,1,1,3,Нет
1,43.040539085474215,86.91358601755447,5,5,1,19.985785975870442,D,3,0,96.51525814140267,1,4,3,0,99.89634433990898,61.564377959764286,3,3,0,72.61217906599016,C,1,1,96.84220058118598,0,3,5,Нет
0,96.01062267846302,26.276120482724163,5,1,1,88.52317253076407,B,3,1,33.2090525026573,0,1,4,0,16.540285557027133,1.6470688362529518,5,3,0,87.27581885666025,B,3,0,88.72868443669904,0,4,1,Нет
1,77.7987973210161,70.93214774675897,4,2,1,35.80783090323558,D,2,1,83.87671744164571,0,2,4,0,37.15595179357184,36.46415278579354,4,3,0,74.17369545812691,D,1,0,73.73642350451061,1,3,5,Нет
1,73.79603315329739,12.97411633934109,1,1,1,64.24988720214333,B,1,0,31.841531273530133,1,1,4,1,8.850992544745683,43.77558310298541,3,2,0,42.19308853974522,B,1,0,26.858928848007825,1,4,4,Нет
0,28.4893108516451,57.23749922695569,2,4,1,78.4303081270424,C,1,0,80.79539229061133,1,5,3,0,80.06656203069409,31.34162959210891,1,1,1,92.02134309074607,B,5,1,48.44169484592881,1,1,5,Нет
0,42.08967017223127,31.39059191671444,3,4,0,96.65376851132699,B,5,1,86.93902464875846,0,3,2,0,69.79620421262337,64.22711891053373,2,2,0,42.47317294503124,A,2,1,66.42942951975486,0,2,1,Нет
0,23.752826897970703,76.72648439219913,1,4,1,74.525389863156,A,2,0,57.39222341931328,1,4,1,0,42.789955445285365,29.13841195657104,5,4,1,70.89047226996475,A,3,1,79.23838912072384,1,5,4,Нет
0,85.37544946630901,7.643959365784891,4,2,1,9.880370179403219,A,5,1,32.80197847740839,0,5,4,0,74.56799758537058,43.67623494791064,3,2,0,6.1565303421143085,B,2,0,83.63248895046758,0,2,2,Нет
0,61.94845738602186,85.0353875305244,3,5,0,57.63423708481539,C,1,1,10.087456373106708,1,4,5,1,87.73892037553983,74.1695504632364,2,5,1,63.09289796587708,D,3,0,51.60117113407675,1,5,2,Нет
0,93.68217457178342,45.39604326706964,5,1,0,79.08237764663568,C,1,0,81.0711851619916,0,3,5,0,81.16568091229831,18.219429459441592,2,1,1,60.666757481696244,C,4,0,18.44457126287019,0,5,1,Нет
0,82.55490786498126,91.67725593215911,5,5,0,6.304706571366092,B,2,1,75.36047692662157,1,4,3,0,40.721524442399826,98.22815031602802,1,3,1,99.39294110001737,A,1,1,37.21751754460254,1,1,3,Нет
0,38.80905517877209,84.04941793922836,5,2,0,39.122611616345914,D,2,0,3.65430418111391,1,3,1,1,32.50122509848163,79.55455312372746,5,5,0,43.30353060302031,A,5,0,13.422097375438213,1,3,3,Нет
1,1.5014047674241526,48.702176518797245,2,1,0,8.97314396040012,D,5,0,47.087559023467264,0,2,5,0,98.81002609408468,80.59014914241402,4,3,1,26.299984918822805,A,4,0,55.15759544391932,1,4,1,Нет
0,70.09115616518964,11.736149590665468,4,5,0,29.89087225167859,B,3,1,3.5468544465698026,0,5,3,1,15.313328673472737,82.8148977593738,1,1,1,73.88509891671899,B,2,1,64.85924374570197,0,5,3,Нет
0,75.78822691855407,92.53443469021418,5,2,1,87.72991017531771,C,2,1,23.0273894881458,0,4,5,0,86.01344625536701,15.463192263899728,5,1,0,29.794926799810938,C,5,0,33.98213471409988,0,2,1,Нет
1,89.80197663797671,16.518527921036053,5,3,1,46.078370935905866,C,1,0,88.81089669173365,1,2,4,1,9.395649966957286,73.12695286985875,4,4,0,62.36039164717172,D,3,1,1.2062370235392805,1,4,3,Нет
0,54.75400704615744,40.48051369133886,5,1,1,25.37095292877921,B,3,0,44.11357353051202,0,3,3,1,99.06888504931214,25.447561645711314,2,2,0,48.06518932676042,A,4,0,61.86302478351171,0,1,1,Нет
