Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Collision
1,4.961137017148721,5,A,1,5,7.278230024458654,2,C,0,Нет
1,44.34518373848877,1,D,1,1,68.57486472100787,3,A,1,Да
1,59.043903942679776,4,D,1,2,52.34047017776264,4,A,1,Да
2,92.41574891357493,2,C,0,2,34.501859902126476,3,B,0,Да
1,68.07837527614744,1,B,0,5,50.81006741701011,3,B,1,Нет
3,62.29947847249721,2,D,0,2,9.997763444844686,2,C,0,Да
3,26.94881746016946,5,A,1,1,33.60872760563183,2,D,1,Нет
4,93.87925608651302,2,C,0,3,86.48591776395223,1,B,1,Нет
2,96.50642596470009,1,B,0,1,18.95490148816653,5,A,1,Нет
2,35.812980352939505,4,C,1,5,12.564477352848801,5,B,0,Нет
5,32.127562450700744,2,C,0,5,36.10992604874647,1,C,0,Да
5,87.6262892638997,3,B,1,5,56.16998655676607,4,C,0,Нет
1,50.48539387736657,2,D,0,5,99.28422208642654,4,D,0,Да
4,66.58291799741012,1,C,1,2,3.970687877565049,4,C,0,Нет
1,48.966505625989456,5,A,1,5,47.617812750289765,4,B,0,Нет
3,82.53601982685012,4,C,1,4,8.282439428379284,3,C,0,Нет
5,11.699000014465632,3,D,0,4,99.38549854638072,2,A,0,Нет
2,22.771720567412125,5,D,1,2,37.66215433842657,1,A,1,Да
5,84.18690046488452,5,C,0,2,38.442426856310696,1,A,1,Нет
5,20.792259207469176,2,C,1,5,60.81024332818195,3,A,1,Да
2,97.83721050899187,1,B,0,4,82.35459117736299,1,D,0,Да
5,40.73564302193915,1,C,0,3,68.14204220907196,4,A,1,Нет
4,32.10727220140763,2,C,1,3,21.32173947502928,5,D,1,Нет
4,8.530793099161095,4,B,1,1,11.006375329523166,4,D,0,Нет
5,29.99132140823193,2,A,0,2,44.753877622133984,5,B,1,Нет
5,84.18837082950694,1,B,0,4,2.201205315809507,4,C,1,Нет
2,53.2486170414612,2,D,0,5,46.05128026620818,1,B,1,Нет
3,30.05967126939447,3,D,0,4,36.60731341683577,5,B,0,Нет
4,84.39933299585623,1,C,0,4,31.112976120260207,3,A,1,Нет
3,64.4823468886207,2,C,1,3,96.65030538476933,1,A,0,Нет
2,73.90018135062707,2,C,1,2,30.39086458435831,4,D,1,Да
4,19.910866711394494,5,D,1,2,69.98808024038091,3,C,1,Нет
2,55.24138843060502,4,B,0,2,71.01978851645806,3,B,1,Да
1,46.53819865543052,1,D,0,5,48.877783824972084,4,C,1,Нет
3,2.9467173655820966,3,D,0,4,24.22460746714258,1,A,0,Нет
4,4.1258760377063,2,B,1,3,79.01952595534611,3,B,0,Нет
1,5.507726478337361,3,B,0,5,72.56602812800983,4,C,0,Нет
3,43.22073061721257,2,A,0,1,10.363735018438437,1,B,1,Нет
3,45.54084823230563,4,A,1,2,20.50914311537354,2,D,0,Нет
4,52.18765724732485,5,D,0,5,15.73943216389364,5,C,0,Да
3,22.063079686401622,5,B,1,1,93.95238779305399,2,C,1,Нет
4,34.10415376865784,4,B,1,4,55.21071998830176,2,C,0,Нет
4,9.873551144492554,3,C,1,4,92.30686377466606,4,B,1,Да
4,35.718539073805914,4,B,0,3,97.5705749767682,4,B,1,Да
2,77.18158105235636,5,A,0,5,38.741532930966436,2,C,1,Нет
1,29.330536100836312,5,C,1,3,23.12205127205942,2,A,0,Нет
1,96.19042753927233,4,A,0,2,36.51846631381039,1,C,1,Нет
3,83.91001727835985,5,C,1,5,91.78179035118687,1,A,1,Нет
3,19.761901430319107,4,B,1,1,82.90653043261493,2,C,1,Нет
4,33.42668744356605,5,C,1,3,47.04842520713265,3,A,1,Нет
1,71.00819140271688,5,D,1,1,51.560325229657025,3,B,1,Да
5,77.79103743776199,1,B,1,3,73.72218901428505,5,B,1,Да
5,8.837263637511207,2,C,0,5,22.215570375122308,2,C,0,Да
4,94.54573345694337,2,C,0,5,53.97787899689078,3,B,1,Нет
1,54.27156971067447,4,D,1,3,7.084151614272416,2,C,0,Нет
4,53.038613940735566,2,C,0,2,77.50525835229992,1,C,1,Нет
5,87.00315486662218,5,D,0,5,57.257073293596235,4,C,0,Да
4,74.52411450168742,2,A,1,3,75.00109969493879,1,B,1,Нет
2,55.35148924314141,2,A,1,3,42.60662771372172,3,A,0,Нет
3,82.28456302681248,3,B,1,1,96.18954278257193,5,C,0,Нет
4,4.048759656916989,3,C,1,3,88.40360871427978,4,C,0,Нет
5,27.121002839240692,4,A,0,4,88.55027652749261,4,A,0,Да
3,16.750276242108477,3,A,1,2,74.17677253093599,5,A,1,Да
3,19.046237457519034,3,D,0,1,40.545098704467755,4,A,0,Нет
3,12.58293954042571,5,D,1,3,65.41674815673251,1,D,0,Да
1,37.388894287992045,5,D,1,3,43.93269056841495,3,B,0,Нет
2,7.4321364527781935,4,D,0,1,86.07547063185703,4,B,0,Да
1,53.80650794273887,2,C,1,2,73.65029595368688,4,B,0,Нет
4,75.72731353436137,5,D,0,5,52.14021445749793,3,B,1,Нет
3,85.44220271714005,4,C,1,5,44.388969123937585,2,D,1,Нет
4,23.22434852784764,5,A,1,3,82.3791532825981,5,A,0,Да
4,70.59413212786134,3,C,1,1,84.11760913628893,4,C,1,Да
1,52.9429181807917,3,D,0,3,8.475495295470504,1,A,1,Нет
1,14.473387732932963,3,D,0,1,59.27175492932493,3,B,1,Да
3,62.650573187249556,3,B,1,2,51.34256663138876,5,B,1,Да
2,96.13742963270894,5,C,1,1,77.19419428934778,4,D,0,Нет
4,32.99968769789593,1,C,1,1,4.30607931598016,4,D,1,Нет
3,18.772156003884277,4,B,1,2,8.960828581266178,2,A,0,Нет
2,38.60162483889883,1,C,0,1,2.235209822772022,1,A,1,Нет
3,52.57282968264284,5,D,1,1,65.85834514869185,4,A,0,Нет
1,90.3828423020227,5,D,1,5,23.07211077993965,5,C,1,Да
1,45.55156531549699,2,C,1,3,85.64973912802401,5,C,0,Нет
3,99.93559985634039,3,C,1,3,6.564711605765384,2,A,0,Нет
1,14.112150157313074,4,C,0,3,50.49659977437838,3,B,1,Нет
1,31.26892935124239,5,D,0,5,50.52092227497498,2,D,0,Да
4,82.41012048581042,2,B,0,1,14.817202983406364,3,D,0,Нет
1,43.28388451711732,5,B,1,4,83.31109464896328,5,C,1,Да
2,72.57209452033881,4,A,1,2,69.45723224275613,4,D,1,Да
1,65.15654190144943,4,B,0,4,63.21756791852822,3,A,1,Нет
2,28.77746993313992,4,A,1,1,78.3563843753507,1,D,1,Нет
1,84.30392067082693,4,A,0,4,54.20070476374899,2,A,0,Да
5,10.666480878766382,1,A,1,2,69.9823260423597,5,C,0,Нет
3,58.71546919106111,1,C,1,4,8.693632585560518,5,C,0,Нет
3,56.24899739650508,2,A,0,3,95.51104773894743,4,C,1,Нет
5,25.062357068093533,2,C,0,1,97.37325383770643,3,B,1,Нет
3,73.27414172097717,5,B,1,5,81.15792581604511,3,A,0,Нет
5,70.11270998171972,3,C,0,1,54.381192513388484,1,C,0,Да
2,70.96431441014221,5,A,0,4,15.942306080591418,4,A,1,Нет
1,98.91737905279419,3,D,1,3,92.76084751575272,3,B,1,Да
4,66.3058334802254,2,A,0,5,17.4751348009619,2,D,0,Да
5,81.49770157236945,5,B,0,5,90.90832645069179,5,A,0,Да
5,79.19201178708643,4,A,1,4,1.322075758019059,3,D,0,Нет
3,16.972881094580384,4,C,0,1,96.34464151098004,1,B,1,Нет
4,93.4521215467331,3,C,0,1,16.49961083351127,5,D,0,Нет
1,50.832791012714964,3,B,1,4,23.51310995037362,1,C,1,Нет
4,76.68698911084199,2,C,0,3,53.34720831482143,1,C,1,Нет
2,51.95458024325649,4,A,0,3,36.096028097747734,3,A,1,Нет
2,60.62436429626128,5,A,0,3,43.3223256373343,5,B,0,Да
4,69.73490113184592,2,D,1,5,34.06531533846531,4,D,0,Нет
5,43.48601745705815,2,D,0,2,88.70698292165844,2,D,0,Да
2,88.80224222767616,3,C,1,1,48.597108666367575,2,B,1,Нет
4,8.220862960458774,4,D,0,1,29.773432894511775,3,A,1,Нет
5,41.342360536222714,3,A,0,3,92.29437490813443,2,C,0,Нет
2,86.32115719863927,5,B,1,4,3.767894063968691,3,B,1,Да
5,21.489115635289004,5,A,1,4,65.51583088188238,3,D,1,Нет
2,66.51263679856729,3,A,1,1,97.28263818057583,5,A,0,Нет
5,95.17797120001364,5,A,0,2,24.177586054475498,2,C,0,Нет
2,11.99072480113963,1,C,1,1,36.39352062354648,1,C,0,Да
1,75.16135600458969,3,B,0,1,54.5733847935276,4,D,0,Да
2,46.56213858021424,2,D,1,4,25.67205325212364,1,A,1,Нет
5,72.41434036620693,4,C,0,3,23.463476169446295,2,A,1,Нет
1,77.46281984678156,5,C,1,2,65.90525947151511,1,D,0,Нет
4,41.22411748299444,2,A,1,2,17.72267619308643,4,C,1,Нет
1,10.105727476200887,5,A,0,3,41.27388786340309,4,B,0,Нет
4,59.54010643075501,1,A,0,1,8.037967237212595,5,C,0,Нет
1,91.04427548000558,3,A,0,3,72.08290007525106,4,C,1,Нет
3,57.17068887853193,3,D,0,5,61.03322655941109,5,A,0,Нет
4,22.394438698142604,4,A,1,2,97.99560175831121,4,A,1,Да
2,29.873429993406674,2,C,1,1,12.936721043751941,4,A,0,Нет
3,16.496400828613567,3,B,1,3,46.349276506813865,2,B,0,Да
3,25.13272504999372,1,D,0,3,88.17219163759434,3,C,1,Нет
4,12.711773595577004,5,A,0,4,26.094959903276838,1,B,0,Да
3,74.06676802524387,2,B,1,2,65.85556259740649,2,B,0,Да
2,84.11879613072895,3,A,0,3,5.031888569027176,1,A,1,Нет
4,31.992621633742026,2,D,1,4,46.773669972408825,5,D,1,Да
3,18.1798594184823,5,D,1,1,43.59517634241057,2,D,1,Да
4,47.36556128018008,5,A,0,4,19.33734163122055,5,B,1,Да
1,85.60180469254087,5,C,1,4,83.49420881373996,1,D,1,Нет
4,10.723843015133205,1,A,0,3,51.46230491649381,1,D,0,Да
2,28.651408781277055,4,B,1,1,45.50587141886668,2,B,1,Да
2,41.974882346042975,5,D,0,1,81.31771399040159,1,B,1,Нет
3,60.77451514811093,5,A,0,4,40.48073432788636,3,A,1,Нет
2,51.82557863712438,5,D,1,3,35.359725236708606,5,C,1,Да
4,96.71418325055721,2,D,0,2,88.81223690276919,1,A,0,Нет
3,36.78997258859232,1,C,0,4,55.31811939718455,4,B,1,Нет
3,57.51440743680472,5,A,1,5,8.783020705571165,5,A,0,Да
4,90.06225915324919,4,D,0,4,54.06079448738428,2,C,0,Да
3,24.617135814925085,2,B,0,4,52.82248775730965,2,D,0,Да
2,45.290385310967686,1,A,0,5,54.70502575845126,5,B,1,Нет
5,13.693808174968247,3,C,0,5,14.986377014401741,1,B,1,Нет
2,7.0586308518872265,3,B,1,1,27.80650954774182,4,C,0,Нет
4,98.55801333089684,5,B,0,3,14.810636368430263,5,B,1,Да
3,92.3882621346282,3,B,0,1,67.79062466463598,4,A,0,Нет
4,46.24628089476131,4,A,0,1,85.05705749304784,1,B,1,Нет
5,67.3103352193364,1,A,0,2,73.8614338492242,5,A,1,Нет
5,0.9406728062813619,2,D,1,4,43.46138177160981,5,B,1,Нет
4,98.44689334271828,3,D,0,4,88.17869090931349,3,A,1,Да
4,42.18655697740026,5,C,0,5,84.49435907376062,1,C,0,Да
4,76.29710069926972,2,B,1,1,78.92607375644063,3,D,1,Нет
4,57.028640259067075,5,C,0,4,18.438080753840946,3,B,1,Нет
3,11.746781198139134,5,C,0,3,34.4882573291594,3,C,1,Да
1,50.19724060347118,3,C,0,3,47.54990124090433,4,B,0,Нет
4,14.939158533280306,5,C,1,1,84.57803896759293,5,D,1,Да
5,97.87837847313506,5,C,1,5,38.49495774214379,3,C,1,Да
1,33.79043481122708,2,C,1,2,96.5340363666443,1,C,1,Да
1,13.945775411918538,4,C,1,5,76.93616379607424,4,C,0,Да
1,89.63075421954075,2,D,0,2,89.26759896910788,1,D,1,Нет
5,89.18606671201958,3,D,1,5,28.16793375426051,5,D,0,Да
1,38.02987295036966,1,D,0,1,33.462882761648856,5,C,1,Нет
5,61.259122903533694,2,C,0,1,46.531927882408816,1,B,1,Нет
5,84.05302168114044,4,A,0,1,34.84877728623442,3,B,1,Нет
3,66.98650338527216,4,D,1,5,53.26331779780258,3,B,0,Нет
3,99.57782978615184,2,A,1,5,34.375664677580744,1,A,0,Нет
4,3.8993491723420592,5,A,1,5,8.95112757550165,1,A,0,Нет
5,5.756162326034042,2,C,1,5,43.206538478829074,4,B,0,Нет
3,4.840433037810154,4,A,0,2,99.2515278451814,5,B,1,Нет
4,1.7638500846312577,5,A,0,3,32.539580608716655,3,B,0,Нет
1,97.38147391217373,4,D,0,3,9.223414817483654,2,D,0,Да
5,21.313156362948593,3,B,1,2,17.342722088603292,2,A,1,Нет
5,43.54839258526611,1,C,1,3,83.65655827131887,3,C,1,Да
5,60.87632284114212,3,C,1,5,48.926739927814445,1,C,0,Да
3,73.95451344950416,2,D,0,3,98.24297167355986,1,A,1,Нет
5,20.215233846147296,1,D,0,4,24.87400812834567,5,D,0,Да
3,22.318967212398256,4,B,0,4,14.03498449354389,5,C,0,Нет
2,37.22853595682142,5,C,1,5,12.414267082010744,2,C,0,Нет
2,63.88532679979079,4,A,0,5,89.99231307854012,3,B,1,Нет
5,2.639640420203704,5,A,0,1,72.26676185789907,2,D,1,Нет
5,64.60867565301243,1,C,0,5,16.358187113923485,3,B,0,Да
1,87.57228039318733,3,C,0,2,30.838582770509937,5,A,0,Нет
4,39.67461371458755,4,C,1,2,48.861081987343844,3,A,0,Нет
2,88.96013125935153,4,C,1,5,3.209233865597161,3,A,1,Нет
5,56.92837768050365,3,C,0,5,2.7895388935723964,5,D,1,Нет
4,92.47874059182085,3,B,0,2,73.43207181513218,1,B,0,Да
3,95.98121945399527,3,D,1,3,27.255443419396563,1,D,0,Да
2,46.48364029237175,2,A,1,5,98.57174360536679,3,B,1,Нет
3,1.5691652896609343,4,D,0,3,85.96028481516392,1,C,1,Нет
4,94.70345922080833,3,C,0,3,29.302820529350726,5,C,1,Нет
1,80.79301324150462,5,B,1,3,45.58386120706859,2,A,1,Нет
2,35.25260950349165,2,D,0,1,92.09924886367938,5,A,1,Нет
3,74.4998487723155,1,C,0,3,53.98791260150285,3,D,0,Да
