Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Collision
5,92.45691175487285,1,2,C,25.712688542147188,1,D,60.34256479401455,1,3,98.5706607800096,1,5,C,33.173872760972415,1,D,98.42128608241411,0,Нет
1,5.918459135288135,0,1,D,40.267793546970644,0,D,52.89486746052842,1,1,45.35235861515321,1,2,D,12.955250337144964,0,A,39.63948300487329,0,Нет
3,0.7052248082990764,0,2,A,68.31760368094317,0,A,38.31585773270437,0,3,99.5571499240386,0,5,B,74.43387349444627,1,D,42.129327420079775,0,Нет
3,45.34388178626778,0,5,B,92.10506404630323,1,B,13.718480885714268,0,2,72.08120768648615,0,3,A,12.235156656405554,0,C,68.90229016708898,0,Нет
3,7.493174641915501,1,5,A,60.87289753399251,1,D,3.243676123034378,1,5,42.04267997635971,1,4,D,65.77571086800654,1,A,64.00486000155787,1,Нет
2,12.071165539079287,0,3,C,59.28045628462648,1,D,8.405033993340938,0,3,97.11467477855724,0,4,A,38.80449404065074,1,A,28.200706148165956,0,Нет
4,60.169547681885895,0,2,A,55.847583692030575,0,B,15.962866248783014,1,5,6.146936964525884,0,1,C,33.045104932697875,1,A,68.36204823395754,1,Нет
4,50.17267995304094,1,4,B,20.893006337206423,1,A,91.3881308577328,1,3,37.83652686847451,1,1,C,73.82649731935656,0,A,18.272340681093436,1,Нет
2,1.9409366484107626,1,4,A,97.79732507043988,1,C,74.709600251169,1,5,47.866387024633404,0,2,A,56.8716506388913,0,D,52.39399613895658,0,Нет
1,65.0791744449533,0,1,C,49.41776019380798,1,B,45.10338912646932,0,4,66.5586315602037,1,2,A,20.042149368883788,0,A,86.85197106206533,1,Нет
