Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Collision
D,19.342730598430858,1,2,D,B,3,57.125639758003054,0,A,0,A,89.59413499724975,1,2,A,A,3,5.001526577611082,0,D,1,Нет
A,27.410851638168367,5,5,A,A,4,16.53112791299689,1,C,0,A,27.229244012367037,4,5,D,A,4,4.362932405446718,1,D,0,Да
C,14.629514375278186,2,3,A,B,1,91.49791308790299,1,C,1,C,3.0551343941333853,2,1,C,C,2,8.478832241451828,1,C,0,Нет
B,94.01605940579368,3,5,C,C,3,3.365225439796393,0,B,0,A,66.4240376048578,2,1,C,D,4,2.703307023938817,1,B,1,Нет
C,10.586045138265243,1,2,B,A,5,41.3164272319381,1,A,1,A,4.5997868585838315,1,2,A,B,5,71.55835177174382,0,D,1,Нет
A,87.17062756318464,1,2,C,B,5,78.63446100755955,1,C,0,A,5.914866618011594,4,2,C,B,3,77.67494289362116,0,B,1,Нет
B,41.871640044029824,1,4,C,A,4,63.12403375138275,0,C,0,B,19.375119591868827,4,3,B,B,2,37.257185314688016,1,A,1,Нет
C,68.7057475131909,4,4,A,B,4,17.14625869071078,0,D,0,C,2.4680600963869703,2,4,C,D,4,92.07660662988457,1,B,1,Нет
D,96.5028347086075,4,5,C,C,5,32.00204826631327,1,B,0,A,30.5524023600254,5,3,A,C,5,17.403724386314735,0,A,1,Нет
D,8.534910054630796,4,1,D,A,2,12.65513289041692,0,C,0,D,18.29233079542324,3,4,C,B,2,43.77219930499652,0,A,0,Нет
C,0.18442986499405123,1,3,B,B,1,58.06370131978087,1,B,1,C,23.824945155596367,5,5,C,A,5,21.71706395267715,0,B,0,Нет
D,31.093313322906578,5,2,B,A,4,91.48716210120018,0,D,0,A,78.09419366324755,2,2,A,D,5,27.49792589391572,1,A,1,Нет
A,36.54584912401516,3,1,A,D,4,95.27134847107092,0,B,1,B,52.807404121475344,3,4,C,B,4,79.98185869546116,0,C,0,Нет
B,60.015515157879804,2,3,B,C,4,98.04257497069335,1,C,0,B,92.15339602771625,2,2,D,B,1,51.44657738884775,1,D,0,Нет
B,74.0843831864517,3,4,D,C,3,10.45947411180872,1,B,1,D,71.51504662631154,1,3,D,A,2,39.16505035572878,1,B,1,Нет
B,62.376224887856466,1,1,B,B,2,94.63659148409468,1,A,1,D,70.24741399249636,5,1,B,C,3,46.22917839322484,1,A,0,Нет
A,41.56922883767156,5,2,B,B,5,66.36308401746376,1,D,1,A,4.457117502418228,1,5,A,D,2,85.39948917404054,1,D,0,Нет
B,9.972118597271306,2,4,B,B,1,56.94611864273158,0,C,0,D,71.62834920645625,5,2,B,D,3,97.491111807496,1,B,0,Нет
C,97.2039659334769,3,4,C,A,5,2.3118871593161727,1,D,0,C,91.71638312113288,2,3,A,B,5,9.781839193289976,1,D,0,Да
A,17.471894334883544,4,1,A,B,1,26.753959120422376,0,D,0,C,28.231462330456246,2,3,C,A,3,86.44245392803954,0,C,1,Нет
B,83.94851929323926,2,3,A,B,3,51.12601501535653,0,D,0,C,59.63121202830334,5,4,A,C,2,93.63619904849739,0,C,1,Нет
C,62.738285922602785,4,4,C,C,1,98.58423626376778,0,B,0,B,84.3085745107315,2,2,A,A,4,84.61328296518094,0,D,1,Нет
C,63.47247152607629,1,2,C,D,5,82.40942641972656,1,B,0,B,99.1915198970039,4,5,B,C,2,95.94221617390878,1,C,0,Нет
B,97.40428756179493,3,1,C,B,5,1.7592088906605907,1,A,0,B,1.481694129145017,3,4,A,A,3,4.758143637624612,1,A,0,Да
A,19.41699363593784,1,4,A,D,3,24.63525430564659,0,A,1,B,47.832283776575494,3,3,B,D,2,98.61559517602527,0,D,1,Нет
B,87.54345373305091,3,1,D,C,3,85.94258296384706,1,B,1,B,14.113795504433945,1,1,B,D,5,35.994286035088216,0,A,0,Нет
C,15.667241559146571,5,1,B,B,3,43.88939544008919,1,D,1,B,20.685456212190733,1,3,B,C,4,94.24062641593635,0,A,0,Нет
D,44.219506146438505,2,2,D,C,4,64.61470562949394,1,B,0,B,73.6326960378408,2,2,C,A,5,38.685304083240226,1,B,1,Нет
B,83.5896734509677,1,1,B,B,2,15.68944926069985,1,A,0,C,82.71763522660393,1,1,C,B,4,97.98704875025541,1,A,1,Да
D,24.183122175797266,4,4,B,D,4,17.944871060245106,0,A,1,B,41.658121199827555,3,2,D,C,4,64.26788223072707,0,A,1,Нет
C,49.03304471942479,4,1,C,B,4,25.592678034412998,0,C,0,B,49.19073531877872,1,2,C,B,2,5.8027233941778995,1,A,0,Нет
C,73.89037069718691,5,4,B,B,5,86.00760773639409,1,D,0,A,92.92352130262216,1,1,A,D,5,51.970056894629536,0,B,0,Нет
D,8.592727780291264,4,1,A,C,2,7.599071413694625,0,C,1,B,14.777499441092912,1,4,A,B,5,24.72771138392609,0,D,0,Нет
D,47.90547234462689,3,3,C,A,1,91.3219711788934,1,B,0,A,13.15918120325823,5,1,D,D,5,39.44154552285589,1,A,1,Нет
D,43.53136198531169,5,3,A,C,1,40.96406308114295,1,D,0,C,45.23964043529076,2,4,B,D,1,74.23775736781035,1,A,1,Нет
D,30.147748436885013,1,2,C,A,1,96.25270140156961,1,B,1,B,29.903995670568428,3,4,C,C,4,51.77308373753975,1,D,0,Нет
D,66.54032632459041,3,5,D,C,4,0.9459934532288106,1,B,0,B,79.45002778945954,1,3,A,A,4,42.95757715479592,1,A,1,Нет
B,34.22151602672465,4,1,D,A,1,56.77274657924368,1,A,1,A,66.31300068400142,2,5,A,C,1,78.0991836053279,0,B,1,Нет
B,1.1391727116729533,1,4,A,B,3,34.05601207721066,1,D,0,B,17.216649553563236,1,2,A,D,4,12.796605414726814,1,A,1,Нет
D,99.95941950021253,1,2,A,C,4,27.360356984196198,1,C,0,A,12.738758108362436,1,5,B,C,1,59.6811443412667,1,B,1,Нет
A,47.72912024428649,3,3,D,A,4,99.22957385332398,1,D,1,D,38.83173733486559,5,4,A,A,2,34.412481550124674,1,B,0,Нет
D,38.557558055461925,3,1,C,C,3,18.780707169315182,1,B,1,B,47.18321929205652,4,4,B,D,3,60.93809950039342,0,B,0,Нет
A,94.22095824069498,1,3,C,C,3,29.421347801140207,0,C,0,C,48.41601583710138,5,2,D,A,3,41.2212428369525,0,B,0,Нет
