Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Collision
A,A,D,A,A,4,2,37.18514008955039,92.83768886619548,54.36528596202105,1,56.33766246944592,A,D,C,D,B,A,3,2,49.21090693752455,74.3755433515362,91.68847421563,0,43.51971856816361,D,Нет
D,A,D,B,A,2,4,27.38870700494792,16.205654707416063,15.147936247165328,1,60.28655805309392,C,A,B,D,D,A,2,4,81.85745008097645,69.81572852181128,68.48840964247695,1,63.07308972471461,C,Да
A,B,C,A,B,3,3,35.166406835123034,65.37247567272195,87.15098300139972,0,6.551919055584621,A,B,B,D,A,A,4,5,85.35424285542615,23.777771927813195,43.16768262897085,1,87.41755271553355,C,Нет
D,B,D,D,D,2,5,19.653498441963222,89.99913036380435,70.6656200537956,1,3.0225134431165146,B,A,D,B,B,B,1,1,41.953318548953725,83.46664460001688,62.79040122841266,0,1.0924835464413696,D,Нет
C,B,D,B,A,4,1,6.204313624079861,33.97035555640241,81.13797655718982,0,50.79211362149187,D,D,A,A,A,A,1,3,31.499852111483793,38.830680174156704,40.165159483881915,1,20.334136131703517,B,Нет
A,A,B,C,D,5,2,68.91339415316573,90.20873210812347,16.22853993914465,1,42.476422487001685,A,C,C,A,D,B,2,1,11.004593556625453,68.49645536818642,31.896455692566185,1,37.24152915062777,A,Нет
D,C,B,A,D,5,5,51.872291320636535,27.221740505693013,76.4797103861208,1,55.99989020203593,B,A,A,B,A,B,2,3,95.92344102650827,25.471290053281457,9.776914852229957,0,66.68480700034584,D,Нет
A,D,D,C,C,2,3,64.15416793441403,66.4436740607983,74.06014965554138,0,96.12356239022932,B,A,D,A,A,A,2,2,6.966648453394686,11.55789087117144,84.40803885789329,1,75.35509124715335,D,Нет
D,D,A,C,B,1,5,97.84909134640583,60.609007169201156,74.86544186953883,1,77.03702159095192,B,C,A,B,A,B,2,3,2.7313894114126325,23.31340299864957,93.91894893545047,1,88.24341595930521,D,Нет
D,D,A,C,C,2,5,30.6296145687972,10.571935064063776,10.55968226727103,0,58.97555173448479,D,B,B,B,D,D,4,2,41.61648917401999,38.82334180575009,94.975937953321,0,71.58308493780616,B,Нет
C,A,A,C,B,1,4,48.15476112805462,96.82443817975572,8.63844537674493,1,46.41449773931294,A,A,B,B,C,B,3,1,6.089329923469922,46.05682183619455,42.109111101598074,1,50.7682611942298,B,Нет
C,B,A,C,C,1,4,92.06217511604301,61.71162838789921,48.009193472274205,1,21.498970834102337,D,B,C,B,A,D,4,3,38.00845067086532,98.27771491199941,21.08582771651857,0,85.26267233428057,A,Нет
