Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Collision
1,56.68114877129409,48.583316156396236,0,0,0,1,A,B,B,1,1,30.15066021891264,87.30287144260403,1,1,0,2,C,A,D,1,Нет
1,55.00751714794687,40.65076509984764,0,0,1,1,B,B,C,0,0,56.804559731998935,69.43899200681697,1,0,1,2,D,D,A,0,Нет
0,63.979759316778484,16.298339616150482,1,1,0,5,C,D,B,1,1,88.13923668419147,6.92827093058217,0,1,1,2,C,C,A,0,Нет
1,63.07824586198022,38.49328607552158,0,0,0,2,C,B,D,1,1,1.9290693478590915,23.650730466905312,0,1,0,4,C,D,C,1,Да
1,83.13608603851743,56.61138023030878,1,0,1,5,C,D,C,1,0,3.113293414659901,27.455387138795828,1,1,1,3,C,A,D,0,Нет
1,39.47473928067167,9.035294789608173,0,0,0,2,A,C,A,0,1,5.304097240625416,37.38565328400809,0,1,1,1,C,C,D,0,Нет
0,1.1454640061096089,16.148855965271913,1,1,0,4,A,C,A,1,1,90.84550099507248,90.90487105719697,0,1,0,3,C,D,A,0,Нет
1,44.77334760061391,59.26441374789122,0,0,0,4,D,B,B,1,0,86.48181847775987,37.27693331814618,1,0,1,5,A,B,B,1,Нет
1,24.406863760586383,13.511771648665682,0,0,0,2,D,A,D,1,0,29.07551395931187,55.464723803551465,1,0,1,2,D,A,A,0,Нет
0,43.831690747567656,53.962056104665166,1,0,1,1,A,D,C,0,1,14.723965970056252,65.0518044549988,0,0,0,2,C,B,D,0,Нет
1,72.55055365750255,95.52672594550941,0,0,0,4,D,D,D,0,1,7.881290901612803,29.21390297309999,1,0,1,2,C,A,B,0,Нет
1,58.38583234874633,58.561985822085425,0,0,0,1,B,C,A,0,0,67.60952720325807,73.34115769203348,1,1,1,3,B,A,B,0,Нет
0,7.737756547904184,84.25139290388157,0,1,1,5,A,A,A,1,0,19.015357262587816,55.853741569387005,1,0,0,5,A,D,B,0,Нет
0,9.274137614023326,43.71970750347545,1,0,0,2,D,D,C,0,1,75.1679744014628,69.1949094218837,1,1,1,2,A,C,D,0,Нет
1,8.075563714907663,65.20642859474873,0,0,0,1,B,A,B,1,0,26.151813384808754,95.37635279714782,0,0,1,5,A,C,A,0,Нет
0,30.156784518602652,27.181738941655233,1,0,0,2,A,B,A,0,0,19.753134808563388,96.76062759844618,1,1,1,3,A,C,A,0,Да
1,67.47176160062747,49.16929090638408,0,1,0,2,C,A,D,0,0,63.19073097090065,66.10626743066568,0,0,1,1,A,B,C,0,Нет
