Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Collision
B,21.529388874918787,D,1,2,C,C,70.95319275377533,A,1,4,B,Нет
B,94.96184342962077,C,1,2,C,A,6.474079156485624,B,1,3,B,Нет
D,30.75280461289205,D,0,2,B,C,23.695337426340735,C,0,4,C,Нет
D,79.59346150318565,B,0,3,B,D,25.89407352178875,B,1,1,A,Нет
B,7.736990879672733,D,0,3,B,C,88.53210334398347,A,0,4,C,Нет
B,42.76083865296273,D,1,4,B,A,8.002851382777775,A,1,5,D,Нет
C,41.39585038695325,C,1,2,C,B,43.26369506989766,B,0,1,B,Нет
D,76.69558866276334,D,0,1,D,C,96.41124449416641,A,0,3,A,Нет
A,97.83488611757572,D,1,2,A,A,26.923370922351666,D,0,1,C,Нет
D,2.014745848278132,C,0,1,D,A,74.84987716763773,B,1,1,B,Нет
C,12.794285308285113,D,0,2,C,B,72.28504397703092,A,1,1,A,Нет
A,30.545309816161915,B,1,4,D,A,99.73616752559498,A,0,3,B,Нет
B,17.50374599625807,D,0,3,C,B,24.80073787249485,C,1,3,D,Нет
B,86.86741023027308,A,1,4,B,D,11.710825690038028,A,0,3,B,Нет
D,92.66447653281395,D,1,5,B,D,23.579322809278636,B,1,5,A,Да
B,38.03030716582656,D,0,5,C,A,8.325711499179967,D,0,1,C,Да
B,4.759364637339846,A,1,2,A,C,10.036024391586473,A,0,2,D,Нет
D,65.13315693494422,C,1,3,C,A,77.71641287659078,C,0,3,A,Нет
D,78.9916077460062,A,1,4,A,C,9.205371359437963,D,0,2,A,Нет
A,23.935081347582265,A,0,3,C,B,93.17732795772933,B,0,1,C,Нет
B,3.824353187318541,B,1,3,A,A,64.15814954746935,A,0,2,D,Нет
A,98.07685205837919,C,1,2,B,C,40.20587877370087,D,0,3,A,Нет
C,39.00711775158432,C,1,3,C,C,47.062459874765935,B,1,3,A,Да
B,26.26330580854378,A,1,3,C,A,7.753273600362998,C,1,1,D,Нет
C,6.398969938239341,B,1,5,C,B,46.288985848611766,A,0,1,C,Нет
D,12.975803414494802,D,0,4,A,B,60.33337378318817,D,1,3,C,Нет
B,96.36522967267038,B,1,3,C,C,6.330587815590039,B,1,3,D,Да
C,11.25767053488812,B,1,5,B,D,65.61066337519796,C,0,1,C,Нет
C,5.244322638991228,B,1,1,C,B,89.6522410350589,D,1,3,C,Нет
B,32.701726627050135,C,1,4,C,B,14.078386432218604,A,1,2,A,Нет
B,31.17004825157753,D,1,1,B,D,4.783586432840348,C,1,5,D,Нет
B,10.749981848308776,B,0,5,D,C,72.60682269665917,B,0,2,D,Да
A,53.608657546939874,B,1,1,A,C,93.37433923104402,C,1,5,A,Нет
B,49.64540295655798,A,0,1,B,C,75.50981849227905,A,0,5,D,Нет
D,98.26737191065169,D,1,4,A,A,5.974235470497103,C,1,3,B,Нет
C,6.249832029768099,A,1,4,B,B,10.059281388786657,A,1,2,C,Нет
B,51.56712108668317,C,0,3,B,B,4.756570374562729,D,1,1,B,Нет
D,58.25945365295864,C,1,5,C,D,92.8483409685488,A,0,3,D,Нет
C,50.036338443562315,C,1,3,A,C,8.772323534967342,D,0,1,A,Нет
C,74.29989207582017,C,1,5,C,B,3.7468982948241525,D,0,1,A,Нет
C,43.34996438650014,D,0,1,A,B,56.28860461083234,A,0,1,D,Нет
C,50.77250054771913,A,0,2,C,C,27.17702104868741,B,1,4,C,Нет
D,8.699880430304297,B,1,5,A,C,81.53780825349489,C,0,3,D,Нет
B,48.013418669928875,D,0,1,A,A,49.41546378672705,B,1,2,B,Нет
B,91.28142455358062,A,0,1,B,A,32.243744080257606,B,1,1,D,Нет
B,88.80607568657337,A,0,3,B,C,97.04572614153874,C,0,5,B,Нет
B,80.01313550479153,A,0,5,A,A,29.69285898210705,B,1,2,A,Нет
A,29.071155390131253,C,1,4,D,C,9.545147438173274,A,0,1,A,Нет
A,31.38720454938133,D,1,2,A,B,92.95939155234237,A,1,2,A,Да
B,80.74492834848981,B,1,5,C,A,18.29332632460108,C,0,4,C,Нет
D,28.01682383926697,D,0,2,A,C,72.53571890325794,D,0,1,D,Нет
D,28.93536719368989,C,1,5,B,A,56.25288804277003,B,0,5,D,Нет
