Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Collision
2,95.68237547638012,B,1,2,10.570448372163089,A,1,Да
1,81.55737034401717,D,0,5,82.46175979621813,A,0,Нет
3,19.020151438642962,D,0,3,40.85844736831642,A,0,Да
3,83.23206819175697,A,1,2,40.88428682173505,A,1,Да
3,83.59253488080904,D,1,2,33.43857451278858,D,0,Нет
1,42.75753787864558,C,0,2,95.72370732635041,A,1,Нет
2,34.78636579202422,C,0,3,2.660769205744129,C,1,Нет
5,87.34463951272092,D,1,5,1.372640447293294,B,0,Нет
5,89.62403322769575,A,1,5,29.149486182103512,C,0,Нет
3,42.19737600175556,B,1,4,56.040506329978655,A,1,Нет
4,20.50705890234551,B,1,2,64.0412890772163,A,1,Нет
2,55.25421626503284,D,0,1,76.91186410865554,B,1,Нет
5,10.059722724075982,D,1,1,23.704811352856336,A,0,Нет
3,24.405688312210295,D,1,4,25.94839104512464,C,0,Нет
3,31.13121677370949,B,1,5,76.95925401714491,C,0,Нет
2,53.3260532600492,C,0,1,49.971160672428994,D,0,Нет
2,84.06395817114976,A,1,3,37.79051919459727,A,1,Да
3,65.5163274648002,C,1,1,24.13121539733418,C,1,Да
5,58.619812770000024,A,1,4,19.15919809347968,C,1,Нет
4,84.79411469128884,A,0,5,59.61539959938924,C,0,Нет
1,67.20006116902407,C,0,4,33.25754463811542,A,0,Нет
4,61.287878748618176,B,1,2,70.4082936152711,B,1,Да
1,81.72060125343097,B,0,5,66.36101716421403,A,1,Нет
4,31.159028524450584,A,0,2,11.622583711928602,A,1,Нет
3,66.43629104193869,B,0,3,82.93642460558546,C,1,Нет
3,62.53972300379287,A,0,3,31.100802992994026,A,0,Да
1,71.40618878750871,C,0,1,85.1691051990437,B,0,Да
2,59.78463138921645,C,0,5,91.80466574313762,C,0,Да
2,84.66642809286274,B,1,3,50.003277238166675,A,0,Нет
1,13.064065828474758,A,1,2,99.45472021633923,A,0,Нет
4,14.719852634625086,C,1,5,92.87088153066134,C,0,Нет
5,76.44730039849732,B,0,4,28.71706839920931,C,1,Нет
5,1.9967541460497062,B,0,5,21.29661404338884,D,0,Да
5,83.68115350398571,A,0,2,70.22767295723729,B,0,Нет
5,28.343745660502893,A,1,4,46.84167012144219,B,0,Нет
2,71.68068456339888,C,0,4,59.624081236668104,B,1,Нет
5,59.91268016008798,D,1,1,23.36408704992854,B,1,Нет
1,52.842104498549794,D,1,5,24.168209838857845,D,0,Нет
3,88.6741708973466,B,1,4,34.31842027985028,D,1,Нет
2,42.27707194879572,C,0,3,41.04928445382878,D,0,Нет
4,57.60230310937053,C,1,3,4.115554864677151,B,1,Нет
1,1.4683645065166506,D,0,2,50.978957846537945,D,0,Да
2,54.39366329747567,D,1,2,38.26072726558044,D,0,Да
2,10.803306684504921,A,1,4,53.60623923851363,C,1,Нет
4,41.025004337792794,B,1,5,90.43409048274363,C,0,Нет
4,59.8017452956294,A,0,4,64.89868187772059,B,0,Да
1,99.585167594288,B,0,5,93.39194010258109,B,1,Нет
5,77.49723131270062,C,1,1,35.61346413050616,C,0,Нет
1,17.99225449554064,A,0,4,99.02946896935886,B,0,Нет
3,49.983290997086335,B,0,5,28.36520762820671,D,1,Нет
1,56.71985318299306,B,0,4,98.53481964049331,D,1,Нет
5,5.339229552638935,B,1,3,99.7449472011862,D,1,Нет
2,32.13735429815745,C,0,5,1.5203268313979668,D,1,Нет
5,18.725151124261174,B,1,2,47.367155058967704,C,1,Нет
2,44.669775794199374,D,1,5,68.5525949338285,C,1,Нет
1,81.82297341402982,B,1,2,89.09388835863912,A,0,Нет
2,83.46392289971125,B,0,1,32.41090095672481,A,0,Нет
3,46.36557928757049,A,1,3,31.319955867378635,C,1,Да
1,11.370359486004789,A,1,3,32.05587120833644,A,0,Нет
3,84.93280104026123,B,0,5,99.72672251965378,B,1,Нет
1,35.483349763594276,D,1,3,96.13117023401252,B,0,Нет
5,67.13184586124288,B,1,5,90.84115909949637,D,0,Нет
2,67.03708930369447,B,0,2,41.632781103240134,A,1,Нет
2,17.97494461255944,B,1,1,19.067042516137644,C,0,Нет
4,80.07534612725516,B,1,4,28.563528452565535,D,0,Нет
1,94.7543150352309,B,1,4,68.03901265808229,D,1,Нет
1,89.42431208930508,B,0,5,30.663781123700794,D,0,Нет
1,68.24759568302784,C,0,3,3.7883845969230334,C,0,Да
1,73.4768008752511,B,1,1,0.07110222901812735,C,0,Нет
4,22.442033042190168,B,1,4,96.85820072769229,B,1,Да
2,22.52694019402297,D,0,5,22.829787988688178,A,0,Нет
4,56.61901277856211,A,1,5,88.556970272386,C,1,Нет
4,80.14584574919265,B,0,4,58.76675935112803,C,0,Да
2,4.996369468863316,D,1,2,40.43356450926677,C,1,Да
4,27.746202102249452,A,1,3,49.90489853639753,C,1,Нет
1,98.28089459983775,B,1,2,74.59777840042283,C,0,Нет
5,8.06919277816025,C,0,1,2.377725611070125,B,1,Нет
1,97.5175070066812,C,1,5,83.58543899393571,C,1,Да
1,1.2883634520401754,B,0,3,28.365038510907535,C,1,Нет
2,8.287145895594595,C,0,5,81.25123161139453,B,0,Нет
3,69.54319774237779,C,1,4,21.715816860039936,D,0,Нет
5,28.847818280927807,C,1,2,46.59508958411232,D,0,Нет
2,2.025857341629178,C,0,4,85.47683621868146,D,0,Нет
1,24.89479061981915,B,0,1,48.302266101979185,D,0,Да
3,53.3803085368177,C,1,5,64.59889195435638,A,1,Нет
1,36.33165995303232,C,0,3,62.08024741120558,C,0,Да
3,69.81855010911536,B,0,2,10.583016961243775,B,0,Да
