Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Collision
C,2,1,D,D,D,1,44.124913094241194,A,1,0,C,B,C,0,74.61821107035203,Нет
D,5,0,A,A,A,1,73.9011673997764,A,2,1,B,B,B,1,6.076414098761395,Нет
C,1,1,C,B,D,1,88.77593350910438,D,3,1,A,B,C,1,86.90264091686547,Нет
D,4,1,D,B,B,1,94.78815442974823,B,2,1,C,C,A,0,36.84806612048524,Нет
D,3,1,A,B,B,1,95.04626223600341,A,2,1,B,A,D,1,60.885448532910026,Нет
B,3,1,D,A,D,0,89.87784790797441,A,5,0,D,C,B,1,87.17237803001665,Нет
D,1,1,A,B,D,0,31.351340763951484,D,5,1,B,A,C,1,19.24827810232166,Нет
D,3,0,B,D,B,1,28.677242470343213,C,1,1,B,A,A,0,15.387035184184828,Нет
B,1,1,C,A,C,1,84.63857710100888,A,4,0,C,A,D,0,28.880013638224213,Нет
A,2,0,C,B,A,0,52.954763545994574,B,1,0,B,C,B,1,12.947349411754983,Нет
A,1,0,A,A,B,1,70.1538200678391,A,4,1,D,C,C,1,7.148802557791257,Нет
C,4,0,A,A,B,1,42.445679146693834,D,3,1,C,B,C,0,99.97751595941179,Нет
A,5,0,B,B,C,0,79.42293158186364,C,1,0,A,A,B,0,47.87280038401342,Нет
C,5,1,B,A,C,1,22.481023335647322,C,1,1,D,A,C,0,25.38654822467953,Да
D,1,1,A,C,C,1,29.893292623343935,D,2,0,B,B,C,1,21.49838906119933,Нет
C,4,0,A,D,A,0,68.09912985485653,B,3,0,D,B,A,0,39.61595163183921,Нет
B,5,0,D,A,B,0,92.35147099538193,D,3,1,A,A,B,1,20.244132998491704,Нет
A,2,0,B,A,D,0,93.56906331487428,B,5,0,B,A,A,0,32.974149345893224,Да
D,3,0,D,C,D,1,49.61079619332819,C,2,0,B,D,D,1,72.11942494113107,Нет
D,1,0,C,C,C,1,89.98408084904824,B,3,1,D,A,A,1,21.790290224711097,Нет
B,2,0,A,B,A,1,26.59342624839206,D,3,0,B,B,B,1,83.8263059113194,Нет
C,2,0,D,A,A,0,19.004500400844172,A,2,0,A,A,A,0,99.59940802512256,Да
A,4,1,D,D,B,1,86.34442681297458,C,5,1,B,A,D,0,12.505509905681189,Нет
D,1,1,B,A,C,0,85.13195080950727,D,1,1,C,A,A,0,45.712815829771515,Да
C,3,1,A,A,D,1,95.95041052832332,A,3,1,D,A,D,1,23.516807580166844,Да
C,2,1,D,B,B,1,1.8817545858517137,C,4,0,B,D,B,0,0.2692731860349906,Нет
B,5,0,A,C,B,1,12.440437464148857,D,3,1,B,C,D,0,96.28417110062742,Нет
D,5,0,B,B,B,0,72.47493375158773,C,3,1,B,C,D,1,55.642615449145275,Нет
B,1,0,A,B,A,1,14.76845557052644,C,2,1,B,A,A,0,7.600438229305473,Нет
C,5,0,C,D,C,1,27.375114249501642,C,2,0,B,B,B,0,43.849458234427274,Нет
B,3,1,B,B,C,1,88.35962189077013,D,2,1,D,C,C,1,11.488569579967656,Нет
D,3,1,B,B,C,0,65.57438925170825,A,4,1,A,B,D,1,2.70109911571077,Нет
C,1,1,A,D,C,1,20.63300155945238,B,4,1,B,A,B,0,25.520234509673077,Нет
A,3,1,B,B,C,0,69.83178913910623,B,3,0,C,B,C,0,50.11985615228777,Да
D,3,0,A,C,C,0,56.61497420087772,C,4,1,B,B,D,0,13.484315485229859,Нет
A,2,1,A,D,A,1,51.644315667082296,B,3,1,B,C,B,0,93.52711621860054,Нет
D,2,1,B,D,D,0,87.51055946209469,B,3,0,A,C,A,1,71.68169143307324,Нет
B,2,0,D,A,D,0,72.26185442669953,A,3,1,B,B,B,1,28.57705416672568,Нет
C,2,1,D,A,A,1,43.466962816377595,D,3,1,B,A,D,0,93.04376818000638,Нет
C,2,0,A,B,B,1,51.774267328775295,C,5,0,A,D,B,0,56.57829185139368,Да
C,4,0,D,C,C,1,52.294441546459794,D,1,0,B,D,D,1,84.04549603003126,Нет
A,2,1,B,B,C,1,17.77259191166507,B,2,0,B,A,A,0,85.14692613993162,Нет
C,1,1,B,C,A,0,10.275777531138663,D,4,1,A,A,A,1,92.52388100709868,Нет
D,5,0,A,A,D,0,24.562230000211883,A,4,1,B,C,C,0,3.4225224968827517,Нет
A,2,1,D,A,B,0,71.9366781221527,C,3,0,A,D,B,0,83.76162421479427,Нет
A,1,0,D,C,C,0,41.094948280789836,B,1,0,B,D,B,0,38.719692257637604,Нет
B,5,1,C,B,B,0,68.02246285484304,B,2,1,B,C,D,1,64.7400728316596,Нет
B,4,0,C,B,D,0,10.025775060694198,C,1,1,C,A,D,1,92.42562380816211,Нет
C,1,0,C,D,A,1,63.00101016754217,D,5,1,B,D,B,0,14.898696621089002,Нет
B,4,1,B,A,A,1,96.22259109392047,B,3,0,A,B,A,0,41.07877417875834,Нет
C,2,0,D,A,A,1,68.62776385336022,B,2,0,A,A,B,1,74.11719058638309,Да
A,2,0,D,D,D,0,52.539950596661924,B,5,0,A,C,A,0,95.50571553949835,Нет
D,2,0,D,B,C,1,79.91685734472738,A,1,0,B,A,A,1,80.54317537867665,Нет
B,3,1,B,C,C,1,53.60773499181604,C,3,0,B,A,D,0,76.13302538566616,Нет
B,2,0,D,D,B,1,96.99543203201509,C,2,1,D,B,C,1,61.421190740428656,Нет
D,1,0,D,D,C,1,76.70522517803565,C,3,0,C,D,B,0,19.330390412013298,Нет
C,3,0,B,D,A,0,29.47527276301115,D,2,1,B,B,C,1,45.760849055249075,Нет
B,1,1,C,C,A,1,39.400407205794586,B,3,0,B,A,B,0,5.293183172475169,Нет
D,3,1,C,C,A,1,49.92577416723133,D,3,0,B,C,D,0,97.5538121502231,Нет
C,1,0,D,A,C,0,64.58057696909856,C,3,0,D,C,C,0,66.21503746241227,Да
D,3,0,B,D,B,1,6.572416660678304,C,2,0,A,C,D,0,14.565221399162242,Нет
B,5,0,B,B,B,0,46.88711132732336,A,5,1,D,B,A,0,29.724355709135885,Нет
A,1,0,D,A,C,0,7.118695699129973,B,1,0,A,A,C,0,64.25502278334775,Да
A,1,1,B,B,C,0,44.423009997863225,A,5,0,A,C,C,0,93.58937555282927,Нет
A,2,0,D,B,D,0,58.451100551619476,C,2,1,C,D,B,1,58.85796215664367,Нет
A,4,0,B,B,C,1,84.60469560072228,C,1,0,D,A,B,0,1.2165440018718998,Нет
C,1,0,D,C,C,0,21.949813603700143,D,5,1,A,D,A,0,52.04548561063002,Нет
D,4,0,C,C,D,0,19.405992805220794,B,5,0,B,D,A,1,51.04953190250132,Нет
D,2,1,C,B,C,1,40.23854369868998,A,1,0,D,A,D,0,9.251277996686913,Нет
D,2,0,D,B,D,0,88.40146070872733,D,5,0,D,A,D,1,96.7736935177375,Да
A,3,0,D,C,D,0,88.78437980957995,A,4,0,D,B,A,0,74.6778240051372,Да
D,5,1,B,C,D,1,41.79968730312902,A,1,0,C,B,D,0,98.0558424740345,Нет
D,5,1,A,A,A,0,63.381243630449156,B,2,1,D,D,C,1,56.21517758691525,Нет
C,5,0,C,B,A,1,64.67082671351629,A,2,1,B,B,B,1,10.484810428723911,Нет
C,3,0,B,B,D,1,54.46794552067762,D,5,1,C,A,D,0,77.05214575655131,Нет
B,2,0,D,C,B,0,15.057236371646354,A,4,0,D,D,A,0,91.67920678457068,Нет
D,1,0,A,D,D,1,66.6478058979452,D,4,1,D,C,A,1,67.5064108934093,Нет
D,1,0,D,B,B,0,7.42818732306233,B,1,0,B,C,C,1,50.5159693029627,Нет
B,4,1,A,A,B,0,68.35305308587587,D,4,1,A,A,D,1,91.72265031517874,Да
B,1,0,B,D,C,1,16.964807091319667,C,1,0,D,C,C,0,99.49128857489933,Нет
B,4,0,A,B,A,0,82.96977468658001,D,2,1,C,A,B,0,83.06846047756846,Нет
A,5,0,B,A,D,1,28.63265430385552,D,4,1,B,A,A,1,85.08598487874039,Нет
C,3,1,B,B,B,0,12.89625134144755,C,1,0,C,A,C,0,44.74438043760202,Нет
A,1,1,B,B,B,0,19.510098114818142,A,4,0,A,C,C,0,84.78390827727647,Нет
C,5,1,B,B,D,0,12.019208393049674,B,3,1,D,C,A,0,0.9880040576002114,Нет
B,5,1,C,C,D,0,8.731913929703062,D,1,1,C,D,B,1,59.609483871051275,Нет
B,1,0,D,B,C,0,71.29813223923881,D,2,1,C,A,B,0,32.56938322701694,Нет
B,5,0,C,B,A,0,48.86402173398399,D,5,0,B,B,A,1,67.0294828364333,Да
A,3,1,A,D,C,1,55.89733067208948,B,1,0,D,A,A,0,2.5680400265450265,Нет
A,1,1,B,A,D,1,62.545340996904045,D,2,1,B,B,C,0,88.45537151567281,Нет
B,4,1,B,A,A,1,0.1926791872455258,B,3,1,C,B,A,0,65.80819209641727,Нет
D,2,1,A,A,C,1,37.619505976383905,C,4,0,D,B,A,1,71.33415523143243,Нет
C,4,0,A,B,D,0,62.4641351373021,C,4,0,B,C,C,0,34.4011609806661,Да
C,3,0,B,B,C,1,22.993909908124376,C,5,1,A,D,A,1,20.47280190424229,Нет
B,1,0,D,D,B,0,85.25275679704892,B,4,1,B,A,A,0,66.12578266743068,Нет
A,3,0,C,D,C,0,80.98355145545172,C,4,1,B,B,C,1,24.116168573614026,Нет
B,2,1,A,D,C,1,55.811348641864875,C,2,1,D,B,B,1,53.186945075215576,Нет
A,3,0,B,D,D,1,32.53045864451914,C,5,0,B,C,B,0,17.124656015876106,Нет
A,2,0,C,A,C,1,55.297906162970165,A,4,0,C,A,C,1,54.329347816390886,Да
C,5,1,A,C,C,1,51.974377601201915,B,1,0,D,D,B,1,95.04197775218863,Нет
B,3,0,D,D,D,0,82.50690222899574,B,3,1,A,C,A,0,11.13130912074476,Нет
B,1,0,C,D,C,1,82.79911347197626,D,3,1,A,C,A,0,15.363723165176225,Нет
D,4,1,D,B,B,0,74.5089591162407,A,3,1,A,D,B,1,69.53195747282344,Нет
A,3,0,A,A,B,1,65.51346652727304,D,5,1,B,B,B,0,62.06926234789402,Нет
D,4,1,C,D,A,0,59.97399305574794,B,2,0,D,B,C,0,22.84292947945198,Нет
D,3,1,B,B,A,0,64.16599042394913,C,1,1,D,C,D,0,64.48446807774846,Нет
D,3,0,A,B,A,0,96.454670389039,B,1,1,B,B,D,0,88.80007190606378,Нет
B,1,0,C,A,B,0,82.79701796538941,A,4,1,A,C,D,1,11.081887692516169,Нет
A,2,0,C,B,D,1,8.6947155744462,B,1,1,A,A,B,1,47.47811537090843,Нет
D,5,1,D,D,D,1,14.069847655862999,D,5,0,A,A,A,1,8.570029493921616,Нет
C,3,1,D,C,C,0,46.398290576119514,D,4,0,B,B,C,0,53.86595857229043,Нет
D,4,0,C,B,C,0,93.33091938563898,D,2,0,C,D,B,1,61.78771464765632,Нет
D,2,1,C,D,A,1,48.96756118462156,A,1,0,A,B,B,0,73.9028694176636,Нет
C,1,1,B,D,C,1,10.335564083007743,A,3,0,B,B,A,1,54.6515478052421,Нет
