Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Collision
1,75.53886169175779,5,C,D,3,14.382615933877553,B,A,38.473062947277036,1,60.632149780562926,3,D,B,4,79.97155399774581,C,A,34.24569981719797,Нет
0,9.905520759754404,5,D,D,3,39.24996907190519,D,C,67.89516717326025,0,80.71718325520501,3,A,B,3,96.97641442976956,B,B,66.48400207358833,Нет
0,28.59309715038487,2,C,B,2,30.10028243862869,C,C,50.02157365622345,0,19.45394119358389,3,A,A,2,61.93170718798912,C,C,83.06303700114852,Нет
0,75.52931157968415,1,D,D,1,62.19440521871514,D,D,36.32974068203427,1,5.257504817549396,3,B,A,4,21.835675529739508,D,D,31.104925808268025,Нет
0,52.49301600996274,1,B,D,1,9.738276266946588,A,B,46.98577087769606,0,46.67828763256474,1,B,D,5,82.08834174754574,A,B,90.4408020505001,Да
0,93.96936159564855,4,D,D,4,38.83628519474808,D,C,71.81124758133446,1,52.80165755232908,3,B,B,5,32.77865229978196,B,D,25.005090157306363,Нет
1,98.04786879897588,4,B,A,5,14.051083574617152,D,C,34.96589393282703,1,42.63059656060435,3,C,D,3,14.715865536722085,B,B,60.42231043613384,Нет
0,97.8207341233959,1,B,D,4,30.601365216917166,B,B,36.648368822834485,0,48.16563264303224,1,A,D,4,3.536996827099159,C,C,60.783466857948255,Нет
0,31.6828786717983,5,C,B,1,72.20633491006095,C,B,50.74259791172183,0,19.14895730457524,2,B,B,5,52.02281637393153,B,C,53.976895304375404,Нет
0,27.618494378312054,2,A,C,4,86.78021403252173,B,B,43.30313839952497,1,10.728098570958489,1,D,C,3,1.6234419691052993,B,D,37.03015217202908,Нет
0,94.39984889757463,4,B,D,2,47.15277348416479,D,C,27.144481170522873,0,90.00932002720381,1,C,B,3,82.39153646852428,A,D,80.39135996966786,Нет
0,0.5645034563150353,2,B,B,4,51.26595060762461,D,D,31.317144845054447,1,50.289889949969826,3,B,A,3,93.49111103910505,B,A,8.768204280596237,Нет
0,90.37340437691677,5,C,C,1,10.829911441396545,A,B,67.46066136505274,0,3.74156112043994,5,C,A,4,86.71226484070793,B,A,65.76497600685381,Нет
1,42.41121451918468,4,B,A,4,75.47822049236531,A,B,85.37907182147808,0,9.744400938991548,4,D,D,4,19.37206806393754,A,B,84.58873714569656,Нет
0,47.83981360864158,2,C,A,4,49.12274830581092,A,C,4.741449055654123,0,46.90647688549385,4,D,C,4,95.9164315028962,B,C,93.02470781939357,Нет
0,35.967790397598144,4,B,A,3,81.66693798977029,D,C,83.05973384066931,1,5.254645317037731,5,C,C,5,68.56035415598325,D,B,6.589018533411695,Нет
