episode,reward
1,-135.0
2,-170.0
3,-155.0
4,-75.0
5,-115.0
6,-205.0
7,-205.0
8,45.0
9,-50.0
10,-210.0
11,-5.0
12,-40.0
13,-75.0
14,-80.0
15,-80.0
16,-5.0
17,0.0
18,35.0
19,-85.0
20,25.0
21,-65.0
22,25.0
23,-160.0
24,55.0
25,75.0
26,-75.0
27,75.0
28,-110.0
29,-440.0
30,-120.0
31,-95.0
32,-25.0
33,-120.0
34,115.0
35,-55.0
36,20.0
37,-55.0
38,-110.0
39,-45.0
40,15.0
41,-280.0
42,0.0
43,-190.0
44,-255.0
45,80.0
46,15.0
47,-75.0
48,-205.0
49,-450.0
50,50.0
51,-100.0
52,-55.0
53,-125.0
54,-90.0
55,55.0
56,-25.0
57,40.0
58,267.0
59,-95.0
60,-75.0
61,10.0
62,-60.0
63,125.0
64,198.0
65,-230.0
66,-315.0
67,-20.0
68,15.0
69,-80.0
70,-10.0
71,150.0
72,-220.0
73,-80.0
74,145.0
75,-10.0
76,-30.0
77,50.0
78,85.0
79,60.0
80,-25.0
81,-45.0
82,-85.0
83,40.0
84,140.0
85,25.0
86,75.0
87,85.0
88,55.0
89,165.0
90,65.0
91,-5.0
92,105.0
93,168.0
94,145.0
95,309.0
96,-15.0
97,147.0
98,-20.0
99,-85.0
100,25.0
101,95.0
102,75.0
103,100.0
104,75.0
105,-75.0
106,-145.0
107,125.0
108,-55.0
109,70.0
110,115.0
111,70.0
112,-20.0
113,95.0
114,5.0
115,-55.0
116,-80.0
117,135.0
118,278.0
119,110.0
120,266.0
121,60.0
122,100.0
123,-20.0
124,160.0
125,160.0
126,-180.0
127,-25.0
128,15.0
129,50.0
130,100.0
131,155.0
132,127.0
133,5.0
134,115.0
135,220.0
136,195.0
137,205.0
138,231.0
139,-15.0
140,-100.0
141,165.0
142,50.0
143,150.0
144,320.0
145,115.0
146,105.0
147,-50.0
148,270.0
149,195.0
150,195.0
151,40.0
152,175.0
153,297.0
154,355.0
155,20.0
156,337.0
157,175.0
158,30.0
159,340.0
160,150.0
161,340.0
162,235.0
163,305.0
164,10.0
165,250.0
166,190.0
167,75.0
168,40.0
169,90.0
170,280.0
171,140.0
172,242.0
173,80.0
174,140.0
175,260.0
176,310.0
177,200.0
178,225.0
179,330.0
180,395.0
181,10.0
182,45.0
183,115.0
184,175.0
185,45.0
186,100.0
187,45.0
188,380.0
189,280.0
190,265.0
191,175.0
192,150.0
193,50.0
194,125.0
195,395.0
196,195.0
197,201.0
198,240.0
199,315.0
200,215.0
201,331.0
202,403.0
203,375.0
204,145.0
205,160.0
206,340.0
207,115.0
208,175.0
209,283.0
210,130.0
211,200.0
212,290.0
213,235.0
214,200.0
215,375.0
216,230.0
217,170.0
218,55.0
219,240.0
220,415.0
221,400.0
222,275.0
223,230.0
224,455.0
225,410.0
226,365.0
227,218.0
228,145.0
229,265.0
230,490.0
231,190.0
232,150.0
233,340.0
234,235.0
235,435.0
236,105.0
237,460.0
238,347.0
239,275.0
240,305.0
241,200.0
242,190.0
243,335.0
244,275.0
245,390.0
246,335.0
247,435.0
248,215.0
249,305.0
250,335.0
251,385.0
252,385.0
253,515.0
254,290.0
255,465.0
256,480.0
257,95.0
258,165.0
259,170.0
260,495.0
261,385.0
262,118.0
263,320.0
264,360.0
265,280.0
266,385.0
267,293.0
268,335.0
269,350.0
270,355.0
271,350.0
272,545.0
273,235.0
274,460.0
275,190.0
276,440.0
277,170.0
278,295.0
279,555.0
280,435.0
281,460.0
282,425.0
283,135.0
284,465.0
285,450.0
286,265.0
287,287.0
288,445.0
289,400.0
290,370.0
291,395.0
292,310.0
293,275.0
294,480.0
295,420.0
296,269.0
297,275.0
298,405.0
299,495.0
300,545.0
301,435.0
302,420.0
303,535.0
304,585.0
305,395.0
306,215.0
307,485.0
308,395.0
309,295.0
310,359.0
311,410.0
312,315.0
313,520.0
314,425.0
315,115.0
316,307.0
317,247.0
318,400.0
319,475.0
320,480.0
321,355.0
322,480.0
323,385.0
324,500.0
325,355.0
326,430.0
327,380.0
328,435.0
329,400.0
330,145.0
331,478.0
332,415.0
333,520.0
334,580.0
335,380.0
336,490.0
337,440.0
338,405.0
339,440.0
340,440.0
341,415.0
342,355.0
343,250.0
344,455.0
345,565.0
346,405.0
347,234.0
348,515.0
349,375.0
350,375.0
351,570.0
352,540.0
353,492.0
354,-10.0
355,510.0
356,350.0
357,541.0
358,485.0
359,505.0
360,560.0
361,310.0
362,550.0
363,505.0
364,355.0
365,380.0
366,540.0
367,405.0
368,470.0
369,565.0
370,570.0
371,645.0
372,357.0
373,605.0
374,345.0
375,412.0
376,435.0
377,405.0
378,475.0
379,505.0
380,445.0
381,560.0
382,485.0
383,575.0
384,590.0
385,615.0
386,515.0
387,350.0
388,470.0
389,595.0
390,325.0
391,415.0
392,265.0
393,180.0
394,605.0
395,615.0
396,395.0
397,550.0
398,460.0
399,260.0
400,550.0
401,560.0
402,540.0
403,457.0
404,445.0
405,535.0
406,395.0
407,615.0
408,535.0
409,620.0
410,360.0
411,510.0
412,375.0
413,406.0
414,235.0
415,640.0
416,245.0
417,365.0
418,465.0
419,285.0
420,660.0
421,363.0
422,141.0
423,530.0
424,665.0
425,435.0
426,415.0
427,415.0
428,555.0
429,595.0
430,430.0
431,550.0
432,580.0
433,490.0
434,415.0
435,590.0
436,575.0
437,530.0
438,513.0
439,605.0
440,415.0
441,610.0
442,391.0
443,353.0
444,537.0
445,610.0
446,555.0
447,400.0
448,425.0
449,345.0
450,290.0
451,520.0
452,365.0
453,565.0
454,600.0
455,485.0
456,465.0
457,305.0
458,473.0
459,605.0
460,766.0
461,610.0
462,490.0
463,520.0
464,645.0
465,570.0
466,600.0
467,445.0
468,535.0
469,510.0
470,620.0
471,635.0
472,490.0
473,542.0
474,580.0
475,650.0
476,470.0
477,535.0
478,610.0
479,580.0
480,430.0
481,420.0
482,455.0
483,530.0
484,555.0
485,615.0
486,545.0
487,605.0
488,729.0
489,600.0
490,525.0
491,650.0
492,600.0
493,560.0
494,665.0
495,430.0
496,640.0
497,545.0
498,545.0
499,520.0
500,565.0
501,395.0
502,585.0
503,645.0
504,769.0
505,345.0
506,610.0
507,685.0
508,561.0
509,615.0
510,465.0
511,595.0
512,550.0
513,635.0
514,410.0
515,620.0
516,518.0
517,595.0
518,635.0
519,305.0
520,630.0
521,615.0
522,595.0
523,570.0
524,619.0
525,690.0
526,635.0
527,515.0
528,365.0
529,455.0
530,222.0
531,590.0
532,650.0
533,550.0
534,660.0
535,475.0
536,530.0
537,440.0
538,555.0
539,585.0
540,670.0
541,595.0
542,776.0
543,625.0
544,325.0
545,660.0
546,330.0
547,495.0
548,759.0
549,640.0
550,530.0
551,764.0
552,665.0
553,455.0
554,600.0
555,640.0
556,445.0
557,650.0
558,640.0
559,610.0
560,468.0
561,575.0
562,630.0
563,575.0
564,570.0
565,670.0
566,450.0
567,580.0
568,695.0
569,315.0
570,384.0
571,494.0
572,777.0
573,330.0
574,635.0
575,765.0
576,685.0
577,595.0
578,660.0
579,625.0
580,763.0
581,685.0
582,550.0
583,738.0
584,764.0
585,761.0
586,757.0
587,537.0
588,495.0
589,665.0
590,690.0
591,700.0
